Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2011", ,,,,,,,,,,,
State,Area,,Population,"Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny- 
theft","Motor 
vehicle 
theft"
,,"Rate per 100,000 inhabitants",,398.1,4.0,14.1,145.9,234.1,"1,912.4",336.0,"1,477.2",99.2
NORTH CAROLINA,Metropolitan Statistical Area,,"6,789,371",,,,,,,,,
,,Area actually reporting,99.0%,"24,351",342,"1,449","7,419","15,141","238,548","70,217","155,841","12,490"
,,Estimated total,100.0%,"24,542",343,"1,463","7,468","15,268","241,312","70,839","157,889","12,584"
,Cities outside metropolitan areas,,"876,406",,,,,,,,,
,,Area actually reporting,92.6%,"4,688",83,237,"1,373","2,995","46,394","12,772","31,991","1,631"
,,Estimated total,100.0%,"5,032",90,255,"1,472","3,215","49,844","13,729","34,366","1,749"
,Nonmetropolitan counties,,"1,990,624",,,,,,,,,
,,Area actually reporting,97.0%,"4,076",73,269,592,"3,142","47,940","20,936","24,385","2,619"
,,Estimated total,100.0%,"4,200",75,277,610,"3,238","49,406","21,576","25,131","2,699"
,State Total,,"9,656,401","33,774",508,"1,995","9,550","21,721","340,562","106,144","217,386","17,032"
,,"Rate per 100,000 inhabitants",,349.8,5.3,20.7,98.9,224.9,"3,526.8","1,099.2","2,251.2",176.4
NORTH DAKOTA,Metropolitan Statistical Area,,"330,907", ,,,,,,,,
,,Area actually reporting,99.5%,847,4,126,75,642,"7,866",1350,6077,439
,,Estimated total,100.0%,850,4,126,75,645,"7,911","1,356","6,113",442
,Cities outside metropolitan areas,,"158,858",,,,,,,,,
,,Area actually reporting,92.4%,640,18,102,12,508,"3,624",635,"2,637",352
,,Estimated total,100.0%,692,19,110,13,550,"3,921",687,"2,853",381
,Nonmetropolitan counties,,"194,167",,,,,,,,,
,,Area actually reporting,97.2%,143,1,22,3,117,"1,375",379,843,153
,,Estimated total,100.0%,147,1,23,3,120,"1,414",390,867,157
,State Total,,"683,932","1,689",24,259,91,"1,315","13,246","2,433","9,833",980
,,"Rate per 100,000 inhabitants",,247.0,3.5,37.9,13.3,192.3,"1,936.7",355.7,"1,437.7",143.3
OHIO,Metropolitan Statistical Area,,"9,306,231",,,,,,,,,
,,Area actually reporting,94.7%,"31,971",460,"3,056","15,096","13,359","315,457","94,459","202,074","18,924"
,,Estimated total,100.0%,"32,718",467,"3,165","15,384","13,702","328,935","97,271","212,255","19,409"
,Cities outside metropolitan areas,,"950,318",,,,,,,,,
,,Area actually reporting,79.4%,"1,348",17,253,436,642,"29,831","6,436","22,709",686
,,Estimated total,100.0%,"1,697",21,319,549,808,"37,563","8,104","28,595",864
,Nonmetropolitan counties,,"1,288,402",,,,,,,,,
,,Area actually reporting,91.7%,981,23,135,114,709,"19,074","6,726","11,619",729
,,Estimated total,100.0%,"1,069",25,147,124,773,"20,799","7,334","12,670",795
,State Total,,"11,544,951","35,484",513,"3,631","16,057","15,283","387,297","112,709","253,520","21,068"
,,"Rate per 100,000 inhabitants",,307.4,4.4,31.5,139.1,132.4,"3,354.7",976.3,"2,195.9",182.5
OKLAHOMA,Metropolitan Statistical Area,,"2,433,110",,,,,,,,,
,,Area actually reporting,100.0%,"13,040",153,996,"2,929","8,962","94,681","27,394","58,252","9,035"
,Cities outside metropolitan areas,,"727,258",,,,,,,,,
,,Area actually reporting,99.9%,"3,103",26,292,319,"2,466","24,848","6,197","17,371","1,280"
,,Estimated total,100.0%,"3,106",26,292,319,"2,469","24,876","6,204","17,391","1,281"
,Nonmetropolitan counties,,"631,140",,,,,,,,,
,,Area actually reporting,100.0%,"1,097",29,115,34,919,"7,695","2,743","4,237",715
,State Total,,"3,791,508","17,243",208,"1,403","3,282","12,350","127,252","36,341","79,880","11,031"
,,"Rate per 100,000 inhabitants",,454.8,5.5,37.0,86.6,325.7,"3,356.2",958.5,"2,106.8",290.9
OREGON,Metropolitan Statistical Area,,"3,010,261",,,,,,,,,
,,Area actually reporting,99.1%,"7,941",64,913,"1,990","4,974","96,145","15,353","73,288","7,504"
,,Estimated total,100.0%,"7,983",64,919,"1,997","5,003","96,676","15,462","73,672","7,542"
,Cities outside metropolitan areas,,"410,825",,,,,,,,,
,,Area actually reporting,98.5%,968,8,187,175,598,"16,581","2,843","12,962",776
,,Estimated total,100.0%,983,8,190,178,607,"16,832","2,886","13,158",788
,Nonmetropolitan counties,,"450,773",,,,,,,,,
,,Area actually reporting,98.7%,612,10,107,46,449,"6,997","2,074","4,215",708
,,Estimated total,100.0%,620,10,108,47,455,"7,086","2,100","4,269",717
,State Total,,"3,871,859","9,586",82,"1,217","2,222","6,065","120,594","20,448","91,099","9,047"
,,"Rate per 100,000 inhabitants",,247.6,2.1,31.4,57.4,156.6,"3,114.6",528.1,"2,352.8",233.7
PENNSYLVANIA,Metropolitan Statistical Area,,"10,719,812",,,,,,,,,
,,Area actually reporting,99.2%,"41,266",597,"2,737","15,525","22,407","246,517","49,104","181,844","15,569"
,,Estimated total,100.0%,"41,434",597,"2,750","15,571","22,516","248,136","49,369","183,138","15,629"
,Cities outside metropolitan areas,,"958,036",,,,,,,,,
,,Area actually reporting,94.3%,"2,166",14,194,354,"1,604","18,704","3,542","14,698",464
,,Estimated total,100.0%,"2,297",15,206,375,"1,701","19,835","3,756","15,587",492
,Nonmetropolitan counties,,"1,065,038",,,,,,,,,
,,Area actually reporting,100.0%,"1,509",25,368,185,931,"15,208","4,725","9,760",723
,State Total,,"12,742,886","45,240",637,"3,324","16,131","25,148","283,179","57,850","208,485","16,844"
,,"Rate per 100,000 inhabitants",,355.0,5.0,26.1,126.6,197.3,"2,222.3",454.0,"1,636.1",132.2
PUERTO RICO,Metropolitan Statistical Area,,"3,515,571",,,,,,,,,
,,Area actually reporting,100.0%,"10,127","1,100",42,"6,305","2,680","48,976","15,461","27,756","5,759"
,Cities outside metropolitan areas,,"191,119",,,,,,,,,
,,Area actually reporting,100.0%,413,36,3,160,214,"2,741","1,130","1,517",94
,Total,,"3,706,690","10,540","1,136",45,"6,465","2,894","51,717","16,591","29,273","5,853"
,,"Rate per 100,000 inhabitants",,284.4,30.6,1.2,174.4,78.1,"1,395.2",447.6,789.7,157.9
RHODE ISLAND,Metropolitan Statistical Area,,"1,051,302",,,,,,,,,
,,Area actually reporting,100.0%,"2,596",13,301,746,"1,536","28,092","6,962","18,879","2,251"
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,,Area actually reporting,100.0%,6,1,3,0,2,49,2,11,36
,State Total,,"1,051,302","2,602",14,304,746,"1,538","28,141","6,964","18,890","2,287"
,,"Rate per 100,000 inhabitants",,247.5,1.3,28.9,71.0,146.3,"2,676.8",662.4,"1,796.8",217.5
SOUTH CAROLINA,Metropolitan Statistical Area,,"3,577,275",,,,,, ,,,
,,Area actually reporting,99.9%,"19,404",232,"1,256","3,404","14,512","139,810","34,553","94,178","11,079"
,,Estimated total,100.0%,"19,429",232,"1,257","3,408","14,532","140,023","34,594","94,339","11,090"
,Cities outside metropolitan areas,,"283,043",,,,,,,,,
,,Area actually reporting,97.8%,"2,743",34,101,472,"2,136","15,678","3,752","11,322",604
,,Estimated total,100.0%,"2,803",35,103,482,"2,183","16,023","3,835","11,571",617
,Nonmetropolitan counties,,"818,912",,,,,,,,,
,,Area actually reporting,100.0%,"4,528",53,252,423,"3,800","26,639","8,492","16,190","1,957"
,State Total,,"4,679,230","26,760",320,"1,612","4,313","20,515","182,685","46,921","122,100","13,664"
,,"Rate per 100,000 inhabitants",,571.9,6.8,34.5,92.2,438.4,"3,904.2","1,002.8","2,609.4",292.0
SOUTH DAKOTA,Metropolitan Statistical Area,,"373,529", ,,,,,,,,
,,Area actually reporting,98.7%,"1,018",9,254,135,620,"9,321","1,821","6,996",504
,,Estimated total,100.0%,"1,022",9,255,135,623,"9,386","1,831","7,049",506
,Cities outside metropolitan areas,,"217,574",,,,,,,,,
,,Area actually reporting,89.5%,819,8,173,26,612,"4,080",676,"3,106",298
,,Estimated total,100.0%,914,9,193,29,683,"4,557",755,"3,469",333
,Nonmetropolitan counties,,"232,979",,,,,,,,,
,,Area actually reporting,78.6%,124,2,38,2,82,814,246,484,84
,,Estimated total,100.0%,158,3,48,3,104,"1,036",313,616,107
,State Total,,"824,082","2,094",21,496,167,"1,410","14,979","2,899","11,134",946
,,"Rate per 100,000 inhabitants",,254.1,2.5,60.2,20.3,171.1,"1,817.7",351.8,"1,351.1",114.8
TENNESSEE,Metropolitan Statistical Area,,"4,701,796", ,,,,,,,,
,,Area actually reporting,100.0%,"32,191",310,"1,622","7,435","22,824","178,899","47,425","120,148","11,326"
,Cities outside metropolitan areas,,"605,926",,,,,,,,,
,,Area actually reporting,100.0%,"3,728",28,219,483,"2,998","27,974","6,567","20,384","1,023"
,Nonmetropolitan counties,,"1,095,631",,,,,,,,,
,,Area actually reporting,100.0%,"3,025",35,183,163,"2,644","23,388","8,757","12,944","1,687"
,State Total,,"6,403,353","38,944",373,"2,024","8,081","28,466","230,261","62,749","153,476","14,036"
,,"Rate per 100,000 inhabitants",,608.2,5.8,31.6,126.2,444.5,"3,595.9",979.9,"2,396.8",219.2
TEXAS,Metropolitan Statistical Area,,"22,549,888",,,,,,,,,
,,Area actually reporting,99.9%,"95,634","1,018","6,544","27,626","60,446","821,834","194,265","567,433","60,136"
,,Estimated total,100.0%,"95,657","1,018","6,545","27,632","60,462","822,133","194,327","567,652","60,154"
,Cities outside metropolitan areas,,"1,436,594",,,,,,,,,
,,Area actually reporting,99.3%,"6,026",50,552,617,"4,807","44,367","11,492","31,274","1,601"
,,Estimated total,100.0%,"6,060",50,556,618,"4,836","44,599","11,556","31,437","1,606"
,Nonmetropolitan counties,,"1,688,199",,,,,,,,,
,,Area actually reporting,98.5%,"3,108",57,333,143,"2,575","24,388","9,197","13,637","1,554"
,,Estimated total,100.0%,"3,156",58,338,145,"2,615","24,767","9,340","13,849","1,578"
,State Total,,"25,674,681","104,873","1,126","7,439","28,395","67,913","891,499","215,223","612,938","63,338"
,,"Rate per 100,000 inhabitants",,408.5,4.4,29.0,110.6,264.5,"3,472.3",838.3,"2,387.3",246.7
UTAH,Metropolitan Statistical Area,,"2,496,222",,,,,,,,,
,,Area actually reporting,99.9%,"4,992",39,757,"1,059","3,137","77,046","11,637","59,509","5,900"
,,Estimated total,100.0%,"4,992",39,757,"1,059","3,137","77,058","11,639","59,518","5,901"
,Cities outside metropolitan areas,,"160,485",,,,,,,,,
,,Area actually reporting,86.8%,237,9,62,13,153,"3,773",746,"2,895",132
,,Estimated total,100.0%,272,10,71,15,176,"4,346",859,"3,335",152
,Nonmetropolitan counties,,"160,515",,,,,,,,,
,,Area actually reporting,87.2%,200,4,23,6,167,"2,052",544,"1,395",113
,,Estimated total,100.0%,230,5,26,7,192,"2,354",624,"1,600",130
,State Total,,"2,817,222","5,494",54,854,"1,081","3,505","83,758","13,122","64,453","6,183"
,,"Rate per 100,000 inhabitants",,195.0,1.9,30.3,38.4,124.4,"2,973.1",465.8,"2,287.8",219.5
VERMONT,Metropolitan Statistical Area,,"211,494",,,,,,,,,
,,Area actually reporting,100.0%,363,3,48,36,276,"5,530",954,"4,400",176
,Cities outside metropolitan areas,,"204,085",,,,,,,,,
,,Area actually reporting,96.5%,282,1,37,39,205,"5,206","1,100","3,963",143
,,Estimated total,100.0%,291,1,38,40,212,"5,394","1,140","4,106",148
,Nonmetropolitan counties,,"210,852",, ,,,,,,,
,,Area actually reporting,98.0%,189,4,32,9,144,"3,472","1,519","1,781",172
,,Estimated total,100.0%,193,4,33,9,147,"3,540","1,549","1,816",175
,State Total,,"626,431",847,8,119,85,635,"14,464","3,643","10,322",499
,,"Rate per 100,000 inhabitants",,135.2,1.3,19.0,13.6,101.4,"2,309.0",581.5,"1,647.7",79.7
VIRGINIA,Metropolitan Statistical Area,,"6,969,785",,,,,,,,,
,,Area actually reporting,100.0%,"14,174",250,"1,292","5,156","7,476","161,299","26,268","126,341","8,690"
,Cities outside metropolitan areas,,"281,010",,,,,,,,,
,,Area actually reporting,96.8%,663,9,78,154,422,"8,425","1,220","6,895",310
,,Estimated total,100.0%,685,9,81,159,436,"8,700","1,260","7,120",320
,Nonmetropolitan counties,,"845,809",,,,,,,,,
,,Area actually reporting,100.0%,"1,064",44,163,115,742,"12,142","3,069","8,359",714
,State Total,,"8,096,604","15,923",303,"1,536","5,430","8,654","182,141","30,597","141,820","9,724"
,,"Rate per 100,000 inhabitants",,196.7,3.7,19.0,67.1,106.9,"2,249.6",377.9,"1,751.6",120.1
WASHINGTON,Metropolitan Statistical Area,,"5,992,954",,,,,,,,,
,,Area actually reporting,99.9%,"18,220",137,"1,985","5,411","10,687","218,883","49,668","146,028","23,187"
,,Estimated total,100.0%,"18,222",137,"1,985","5,412","10,688","218,920","49,675","146,054","23,191"
,Cities outside metropolitan areas,,"345,464",,,,,,,,,
,,Area actually reporting,98.0%,"1,215",12,198,178,827,"15,169","3,314","10,935",920
,,Estimated total,100.0%,"1,240",12,202,182,844,"15,481","3,382","11,160",939
,Nonmetropolitan counties,,"491,620",,,,,,,,,
,,Area actually reporting,100.0%,659,13,103,44,499,"9,745","3,475","5,565",705
,State Total,,"6,830,038","20,121",162,"2,290","5,638","12,031","244,146","56,532","162,779","24,835"
,,"Rate per 100,000 inhabitants",,294.6,2.4,33.5,82.5,176.1,"3,574.6",827.7,"2,383.3",363.6
WEST VIRGINIA,Metropolitan Statistical Area,,"1,034,072",,,,,,,,,
,,Area actually reporting,92.7%,"3,401",33,247,607,"2,514","24,817","6,716","16,785","1,316"
,,Estimated total,100.0%,"3,610",36,260,636,"2,678","26,713","7,113","18,193","1,407"
,Cities outside metropolitan areas,,"224,618",,,,,,,,,
,,Area actually reporting,73.7%,689,2,41,131,515,"4,993",982,"3,817",194
,,Estimated total,100.0%,936,3,56,178,699,"6,776","1,333","5,180",263
,Nonmetropolitan counties,,"596,674",,,,,,,,,
,,Area actually reporting,91.7%,"1,206",38,66,88,"1,014","7,979","2,518","4,925",536
,,Estimated total,100.0%,"1,315",41,72,96,"1,106","8,700","2,746","5,370",584
,State Total,,"1,855,364","5,861",80,388,910,"4,483","42,189","11,192","28,743","2,254"
,,"Rate per 100,000 inhabitants",,315.9,4.3,20.9,49.0,241.6,"2,273.9",603.2,"1,549.2",121.5
WISCONSIN,Metropolitan Statistical Area,,"4,160,131",,,,,,,,,
,,Area actually reporting,99.0%,"11,630",123,896,"4,343","6,268","108,970","20,568","81,145","7,257"
,,Estimated total,100.0%,"11,685",123,903,"4,357","6,302","110,002","20,704","82,011","7,287"
,Cities outside metropolitan areas,,"655,218",,,,,,,,,
,,Area actually reporting,94.0%,"1,083",5,156,78,844,"17,383","2,314","14,636",433
,,Estimated total,100.0%,"1,152",5,166,83,898,"18,498","2,462","15,575",461
,Nonmetropolitan counties,,"896,418",,,,,,,,,
,,Area actually reporting,100.0%,695,8,94,29,564,"10,449","3,488","6,477",484
,State Total,,"5,711,767","13,532",136,"1,163","4,469","7,764","138,949","26,654","104,063","8,232"
,,"Rate per 100,000 inhabitants",,236.9,2.4,20.4,78.2,135.9,"2,432.7",466.7,"1,821.9",144.1
WYOMING,Metropolitan Statistical Area,,"168,530", ,,,,, ,,,
,,Area actually reporting,100.0%,414,4,55,53,302,"4,997",798,"4,004",195
,Cities outside metropolitan areas,,"239,560",,,,,,,,,
,,Area actually reporting,97.0%,621,12,73,16,520,"6,279",737,"5,307",235
,,Estimated total,100.0%,639,12,75,16,536,"6,472",760,"5,470",242
,Nonmetropolitan counties,,"160,068",, ,, ,,,,,
,,Area actually reporting,100.0%,193,2,16,2,173,"1,408",305,"1,019",84
,State Total,,"568,158","1,246",18,146,71,"1,011","12,877","1,863","10,493",521
,,"Rate per 100,000 inhabitants",,219.3,3.2,25.7,12.5,177.9,"2,266.4",327.9,"1,846.8",91.7
"1 Because of changes in the state's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,
2 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,
"3 The data collection methodology for the offense of forcible rape used by the Minnesota state Uniform Crime Reporting (UCR) Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,
