Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2003",,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,
Cities outside metropolitan areas,"815,560",,,,,,,,,,,
   Area actually reporting,92.5%,"4,885",66,279,"1,485","3,055","49,166","12,119","34,784","2,263",,
   Estimated total,100.0%,"5,271",71,302,"1,602","3,296","53,080","13,082","37,560","2,438",,
Nonmetropolitan counties,"1,826,625",,,,,,,,,,,
   Area actually reporting,97.5%,"3,939",112,305,652,"2,870","41,574","17,453","21,145","2,976",,
   Estimated total,100.0%,"4,041",115,313,669,"2,944","42,653","17,906","21,694","3,053",,
State Total,"8,407,248","38,246",509,"2,139","12,229","23,369","359,660","100,687","232,081","26,892",,
"   Rate per 100,000 inhabitants",,454.9,6.1,25.4,145.5,278.0,"4,278.0","1,197.6","2,760.5",319.9,,
NORTH DAKOTA,, ,,,,,,,,,,
Metropolitan Statistical Area,"286,263", ,,,,,,,,,,
   Area actually reporting,99.5%,253,3,73,28,149,"7,382","1,039","5,825",518,,
   Estimated total,100.0%,254,3,73,28,150,"7,432","1,047","5,864",521,,
Cities outside metropolitan areas,"141,733",,,,,,,,,,,
   Area actually reporting,84.0%,140,6,51,16,67,"3,527",424,"2,804",299,,
   Estimated total,100.0%,167,7,61,19,80,"4,201",505,"3,340",356,,
Nonmetropolitan counties,"205,841",,,,,,,,,,,
   Area actually reporting,81.6%,59,2,14,3,40,"1,348",317,867,164,,
   Estimated total,100.0%,72,2,17,4,49,"1,653",389,"1,063",201,,
State Total,"633,837",493,12,151,51,279,"13,286","1,941","10,267","1,078",,
"   Rate per 100,000 inhabitants",,77.8,1.9,23.8,8.0,44.0,"2,096.1",306.2,"1,619.8",170.1,,
OHIO,, ,,,,,,,,,,
Metropolitan Statistical Area,"9,211,400",,,,,,,,,,,
   Area actually reporting,90.2%,"33,940",443,"3,829","15,781","13,887","335,607","77,844","221,267","36,496",,
   Estimated total,100.0%,"35,357",454,"4,051","16,274","14,578","360,292","82,495","239,706","38,091",,
Cities outside metropolitan areas,"834,409",,,,,,,,,,,
   Area actually reporting,69.6%,"1,261",24,241,354,642,"26,246","4,677","20,544","1,025",,
   Estimated total,100.0%,"1,810",34,346,508,922,"37,688","6,716","29,500","1,472",,
Nonmetropolitan counties,"1,389,989",,,,,,,,,,,
   Area actually reporting,70.9%,664,24,135,76,429,"12,999","4,055","7,928","1,016",,
   Estimated total,100.0%,936,34,190,107,605,"18,337","5,720","11,184","1,433",,
State Total,"11,435,798","38,103",522,"4,587","16,889","16,105","416,317","94,931","280,390","40,996",,
"   Rate per 100,000 inhabitants",,333.2,4.6,40.1,147.7,140.8,"3,640.5",830.1,"2,451.9",358.5,,
OKLAHOMA,, ,,,,,,,,,,
Metropolitan Statistical Area,"2,212,103",,,,,,,,,,,
   Area actually reporting,100.0%,"13,093",154,995,"2,808","9,136","113,012","24,122","78,534","10,356",,
Cities outside metropolitan areas,"696,232",,,,,,,,,,,
   Area actually reporting,100.0%,"3,222",29,364,373,"2,456","29,735","7,394","20,615","1,726",,
Nonmetropolitan counties,"603,197",,,,,,,,,,,
   Area actually reporting,100.0%,"1,443",23,142,43,"1,235","8,461","3,330","4,255",876,,
State Total,"3,511,532","17,758",206,"1,501","3,224","12,827","151,208","34,846","103,404","12,958",,
"   Rate per 100,000 inhabitants",,505.7,5.9,42.7,91.8,365.3,"4,306.0",992.3,"2,944.7",369.0,,
OREGON,, ,,,,,,,,,,
Metropolitan Statistical Area,"2,740,172",,,,,,,,,,,
   Area actually reporting,99.0%,"9,033",54,981,"2,575","5,423","139,022","22,234","100,182","16,606",,
   Estimated total,100.0%,"9,075",54,987,"2,584","5,450","139,928","22,406","100,810","16,712",,
Cities outside metropolitan areas,"371,581",,,,,,,,,,,
   Area actually reporting,98.2%,956,5,134,212,605,"20,455","3,489","15,542","1,424",,
   Estimated total,100.0%,973,5,136,216,616,"20,835","3,554","15,831","1,450",,
Nonmetropolitan counties,"447,843",,,,,,,,,,,
   Area actually reporting,90.4%,427,8,86,46,287,"8,559","2,410","5,401",748,,
   Estimated total,100.0%,472,9,95,51,317,"9,467","2,666","5,974",827,,
State Total,"3,559,596","10,520",68,"1,218","2,851","6,383","170,230","28,626","122,615","18,989",,
"   Rate per 100,000 inhabitants",,295.5,1.9,34.2,80.1,179.3,"4,782.3",804.2,"3,444.6",533.5,,
PENNSYLVANIA,, ,,,,,,,,,,
Metropolitan Statistical Area,"10,391,620",,,,,,,,,,,
   Area actually reporting,91.3%,"43,421",606,"2,848","16,917","23,050","245,380","43,022","172,494","29,864",,
   Estimated total,100.0%,"45,463",622,"2,996","17,441","24,404","264,583","45,786","187,517","31,280",,
Cities outside metropolitan areas,"867,466",,,,,,,,,,,
   Area actually reporting,73.9%,"1,763",9,173,274,"1,307","15,180","2,352","12,068",760,,
   Estimated total,100.0%,"2,386",12,234,371,"1,769","20,543","3,183","16,331","1,029",,
Nonmetropolitan counties,"1,106,369",,,,,,,,,,,
   Area actually reporting,100.0%,"1,367",17,326,168,856,"15,515","4,950","9,432","1,133",,
State Total,"12,365,455","49,216",651,"3,556","17,980","27,029","300,641","53,919","213,280","33,442",,
"   Rate per 100,000 inhabitants",,398.0,5.3,28.8,145.4,218.6,"2,431.3",436.0,"1,724.8",270.4,,
PUERTO RICO,, ,,,,,,,,,,
Metropolitan Statistical Area,"3,683,868",,,,,,,,,,,
   Area actually reporting,100.0%,"11,614",756,200,"7,636","3,022","68,252","19,969","36,220","12,063",,
Cities outside metropolitan areas,"194,664",,,,,,,,,,,
   Area actually reporting,100.0%,271,23,4,101,143,"1,643",888,607,148,,
Total,"3,878,532","11,885",779,204,"7,737","3,165","69,895","20,857","36,827","12,211",,
"   Rate per 100,000 inhabitants",,306.4,20.1,5.3,199.5,81.6,"1,802.1",537.8,949.5,314.8,,
RHODE ISLAND,, ,,,,,,,,,,
Metropolitan Statistical Area,"1,076,164",,,,,,,,,,,
   Area actually reporting,100.0%,"3,050",23,491,828,"1,708","32,184","5,521","22,285","4,378",,
Cities outside metropolitan areas,None,,,,,,,,,,,
Nonmetropolitan counties,None,,,,,,,,,,,
   Area actually reporting,100.0%,24,2,14,2,6,47,3,35,9,,
State Total,"1,076,164","3,074",25,505,830,"1,714","32,231","5,524","22,320","4,387",,
"   Rate per 100,000 inhabitants",,285.6,2.3,46.9,77.1,159.3,"2,995.0",513.3,"2,074.0",407.7,,
SOUTH CAROLINA,, ,,,,,,,,,,
Metropolitan Statistical Area,"3,112,033",,,,,, ,,,,,
   Area actually reporting,99.9%,"24,873",223,"1,445","4,581","18,624","143,710","32,333","98,452","12,925",,
   Estimated total,100.0%,"24,880",223,"1,445","4,582","18,630","143,772","32,343","98,500","12,929",,
Cities outside metropolitan areas,"265,266",,,,,,,,,,,
   Area actually reporting,99.5%,"3,275",27,114,518,"2,616","16,812","3,547","12,461",804,,
   Estimated total,100.0%,"3,292",27,115,521,"2,629","16,896","3,565","12,523",808,,
Nonmetropolitan counties,"769,853",,,,,,,,,,,
   Area actually reporting,100.0%,"4,736",50,283,567,"3,836","25,003","7,674","15,304","2,025",,
State Total,"4,147,152","32,908",300,"1,843","5,670","25,095","185,671","43,582","126,327","15,762",,
"   Rate per 100,000 inhabitants",,793.5,7.2,44.4,136.7,605.1,"4,477.1","1,050.9","3,046.1",380.1,,
SOUTH DAKOTA,, ,,,,,,,,,,
Metropolitan Statistical Area,"324,249", ,,,,,,,,,,
   Area actually reporting,97.1%,846,6,240,81,519,"8,996","1,562","6,910",524,,
   Estimated total,100.0%,864,6,247,81,530,"9,185","1,593","7,057",535,,
Cities outside metropolitan areas,"201,164",,,,,,,,,,,
   Area actually reporting,91.1%,267,1,64,10,192,"4,343",759,"3,372",212,,
   Estimated total,100.0%,293,1,70,11,211,"4,770",834,"3,703",233,,
Nonmetropolitan counties,"238,896",,,,,,,,,,,
   Area actually reporting,83.8%,140,2,31,10,97,"1,127",374,664,89,,
   Estimated total,100.0%,168,3,37,12,116,"1,344",446,792,106,,
State Total,"764,309","1,325",10,354,104,857,"15,299","2,873","11,552",874,,
"   Rate per 100,000 inhabitants",,173.4,1.3,46.3,13.6,112.1,"2,001.7",375.9,"1,511.4",114.4,,
TENNESSEE,, ,,,,,,,,,,
Metropolitan Statistical Area,"4,237,335", ,,,,,,,,,,
   Area actually reporting,100.0%,"33,347",337,"1,770","8,796","22,444","205,209","48,498","134,118","22,593",,
Cities outside metropolitan areas,"578,487",,,,,,,,,,,
   Area actually reporting,100.0%,"3,576",29,172,461,"2,914","29,700","6,595","21,328","1,777",,
Nonmetropolitan counties,"1,025,926",,,,,,,,,,,
   Area actually reporting,100.0%,"3,254",29,143,115,"2,967","20,924","8,114","10,770","2,040",,
State Total,"5,841,748","40,177",395,"2,085","9,372","28,325","255,833","63,207","166,216","26,410",,
"   Rate per 100,000 inhabitants",,687.8,6.8,35.7,160.4,484.9,"4,379.4","1,082.0","2,845.3",452.1,,
TEXAS,, ,,,,,,,,,,
Metropolitan Statistical Area,"19,139,661",,,,,,,,,,,
   Area actually reporting,99.9%,"112,887","1,287","7,172","36,079","68,349","933,337","196,088","643,619","93,630",,
   Estimated total,100.0%,"112,910","1,287","7,174","36,085","68,364","933,649","196,149","643,847","93,653",,
Cities outside metropolitan areas,"1,373,327",,,,,,,,,,,
   Area actually reporting,99.3%,"5,889",62,554,769,"4,504","55,776","12,868","40,288","2,620",,
   Estimated total,100.0%,"5,918",62,556,770,"4,530","56,063","12,937","40,497","2,629",,
Nonmetropolitan counties,"1,605,521",,,,,,,,,,,
   Area actually reporting,100.0%,"3,373",69,282,163,"2,859","26,710","10,699","14,089","1,922",,
State Total,"22,118,509","122,201","1,418","8,012","37,018","75,753","1,016,422","219,785","698,433","98,204",,
"   Rate per 100,000 inhabitants",,552.5,6.4,36.2,167.4,342.5,"4,595.3",993.7,"3,157.7",444.0,,
UTAH,, ,,,,,,,,,,
Metropolitan Statistical Area,"2,078,616",,,,,,,,,,,
   Area actually reporting,98.1%,"5,317",52,785,"1,212","3,268","90,781","15,082","68,451","7,248",,
   Estimated total,100.0%,"5,401",53,802,"1,223","3,323","92,168","15,325","69,488","7,355",,
Cities outside metropolitan areas,"128,198",,,,,,,,,,,
   Area actually reporting,91.9%,226,3,50,16,157,"4,173",719,"3,237",217,,
   Estimated total,100.0%,245,3,54,17,171,"4,539",782,"3,521",236,,
Nonmetropolitan counties,"144,653",,,,,,,,,,,
   Area actually reporting,94.3%,188,2,34,14,138,"2,504",624,"1,717",163,,
   Estimated total,100.0%,199,2,36,15,146,"2,655",662,"1,820",173,,
State Total,"2,351,467","5,845",58,892,"1,255","3,640","99,362","16,769","74,829","7,764",,
"   Rate per 100,000 inhabitants",,248.6,2.5,37.9,53.4,154.8,"4,225.5",713.1,"3,182.2",330.2,,
VERMONT,, ,,,,,,,,,,
Metropolitan Statistical Area,"203,769",,,,,,,,,,,
   Area actually reporting,96.4%,344,4,55,34,251,"5,334","1,153","3,944",237,,
   Estimated total,100.0%,352,4,55,35,258,"5,521","1,189","4,089",243,,
Cities outside metropolitan areas,"197,181",,,,,,,,,,,
   Area actually reporting,100.0%,225,1,46,19,159,"5,215",792,"4,227",196,,
Nonmetropolitan counties,"218,157",,,,,,,,,,,
   Area actually reporting,100.0%,105,9,20,6,70,"2,885",977,"1,701",207,,
State Total,"619,107",682,14,121,60,487,"13,621","2,958","10,017",646,,
"   Rate per 100,000 inhabitants",,110.2,2.3,19.5,9.7,78.7,"2,200.1",477.8,"1,618.0",104.3,,
VIRGINIA,, ,,,,,,,,,,
Metropolitan Statistical Area,"6,295,851",,,,,,,,,,,
   Area actually reporting,99.2%,"18,115",373,"1,498","6,306","9,938","177,667","24,735","136,521","16,411",,
   Estimated total,100.0%,"18,324",375,"1,516","6,363","10,070","179,518","24,986","137,964","16,568",,
Cities outside metropolitan areas,"265,881",,,,,,,,,,,
   Area actually reporting,96.6%,754,5,79,149,521,"8,099",979,"6,684",436,,
   Estimated total,100.0%,780,5,82,154,539,"8,383","1,013","6,919",451,,
Nonmetropolitan counties,"824,598",,,,,,,,,,,
   Area actually reporting,97.6%,"1,240",32,171,151,886,"11,543","2,849","7,821",873,,
   Estimated total,100.0%,"1,271",33,175,155,908,"11,830","2,920","8,015",895,,
State Total,"7,386,330","20,375",413,"1,773","6,672","11,517","199,731","28,919","152,898","17,914",,
"   Rate per 100,000 inhabitants",,275.8,5.6,24.0,90.3,155.9,"2,704.1",391.5,"2,070.0",242.5,,
WASHINGTON,, ,,,,,,,,,,
Metropolitan Statistical Area,"5,366,728",,,,,,,,,,,
   Area actually reporting,99.9%,"19,625",167,"2,461","5,518","11,479","261,672","51,146","171,859","38,667",,
   Estimated total,100.0%,"19,643",167,"2,464","5,523","11,489","261,989","51,198","172,079","38,712",,
Cities outside metropolitan areas,"323,537",,,,,,,,,,,
   Area actually reporting,95.7%,841,3,215,130,493,"17,777","3,231","13,575",971,,
   Estimated total,100.0%,879,3,225,136,515,"18,570","3,375","14,181","1,014",,
Nonmetropolitan counties,"441,180",,,,,,,,,,,
   Area actually reporting,88.2%,664,12,154,52,446,"9,683","3,257","5,639",787,,
   Estimated total,100.0%,754,14,175,59,506,"10,985","3,695","6,397",893,,
State Total,"6,131,445","21,276",184,"2,864","5,718","12,510","291,544","58,268","192,657","40,619",,
"   Rate per 100,000 inhabitants",,347.0,3.0,46.7,93.3,204.0,"4,754.9",950.3,"3,142.1",662.5,,
WEST VIRGINIA,, ,,,,, ,,,,,
Metropolitan Statistical Area,"989,502",,,,,,,,,,,
   Area actually reporting,91.7%,"2,866",29,182,563,"2,092","26,729","6,141","18,295","2,293",,
   Estimated total,100.0%,"3,041",30,187,586,"2,238","28,672","6,488","19,768","2,416",,
Cities outside metropolitan areas,"226,821",,,,,,,,,,,
   Area actually reporting,82.3%,473,3,32,58,380,"4,198",830,"3,167",201,,
   Estimated total,100.0%,575,4,39,70,462,"5,100","1,008","3,848",244,,
Nonmetropolitan counties,"594,031",,,,,,,,,,,
   Area actually reporting,86.1%,900,25,60,64,751,"7,702","2,310","4,648",744,,
   Estimated total,100.0%,"1,045",29,70,74,872,"8,942","2,682","5,396",864,,
State Total,"1,810,354","4,661",63,296,730,"3,572","42,714","10,178","29,012","3,524",,
"   Rate per 100,000 inhabitants",,257.5,3.5,16.4,40.3,197.3,"2,359.4",562.2,"1,602.6",194.7,,
WISCONSIN,, ,,,,, ,,,,,
Metropolitan Statistical Area,"3,955,013",,,,,,,,,,,
   Area actually reporting,97.2%,"10,340",159,937,"4,248","4,996","124,460","19,927","93,776","10,757",,
   Estimated total,100.0%,"10,432",160,952,"4,266","5,054","126,387","20,270","95,261","10,856",,
Cities outside metropolitan areas,"610,884",,,,,,,,,,,
   Area actually reporting,99.0%,980,4,144,86,746,"19,669","2,523","16,437",709,,
   Estimated total,100.0%,989,4,145,87,753,"19,862","2,548","16,598",716,,
Nonmetropolitan counties,"906,402",,,,,,,,,,,
   Area actually reporting,100.0%,674,17,101,33,523,"11,498","3,744","7,006",748,,
State Total,"5,472,299","12,095",181,"1,198","4,386","6,330","157,747","26,562","118,865","12,320",,
"   Rate per 100,000 inhabitants",,221.0,3.3,21.9,80.1,115.7,"2,882.6",485.4,"2,172.1",225.1,,
WYOMING, , ,,,,,,,,,,
Metropolitan Statistical Area,"150,994", ,,,,, ,,,,,
   Area actually reporting,100.0%,338,6,51,46,235,"6,529","1,052","5,106",371,,
Cities outside metropolitan areas,"208,513",,,,,,,,,,,
   Area actually reporting,97.5%,612,4,59,29,520,"7,666","1,039","6,319",308,,
   Estimated total,100.0%,627,4,60,30,533,"7,859","1,065","6,478",316,,
Nonmetropolitan counties,"141,735",, ,, ,,,,,,,
   Area actually reporting,95.8%,335,4,24,8,299,"2,164",473,"1,585",106,,
   Estimated total,100.0%,349,4,25,8,312,"2,260",494,"1,655",111,,
State Total,"501,242","1,314",14,136,84,"1,080","16,648","2,611","13,239",798,,
"   Rate per 100,000 inhabitants",,262.1,2.8,27.1,16.8,215.5,"3,321.3",520.9,"2,641.2",159.2,,
1 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,
"2 Limited data for 2003 were available for Illinois and Kentucky.  See Offense Estimation, Appendix I, for details. ",,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.",,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
 , ,, ,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
