Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,,Area actually reporting,92.7%,828,8,91,58,46,683,"3,937","1,838","1,704",395
,,Estimated total,100.0%,895,9,99,63,50,737,"4,248","1,983","1,839",426
,State Total,,"2,085,572","12,459",101,"1,475","1,071","2,086","8,797","73,877","18,505","49,082","6,290"
,,"Rate per 100,000 inhabitants",,597.4,4.8,70.7,51.4,100.0,421.8,"3,542.3",887.3,"2,353.4",301.6
NEW YORK5,Metropolitan Statistical Area,,"18,339,380",,,,,,,,,,
,,Area actually reporting,99.9%,"72,890",588,"4,591","3,349","23,787","43,924","314,802","45,880","253,815","15,107"
,,Estimated total,100.0%,"72,930",588,"4,592","3,350","23,802","43,948","315,220","45,937","254,164","15,119"
,Cities outside metropolitan areas,,"518,307",,,,,,,,,,
,,Area actually reporting,97.7%,"1,187",10,229,168,190,758,"13,033","2,274","10,503",256
,,Estimated total,100.0%,"1,217",10,236,174,195,776,"13,344","2,328","10,754",262
,Nonmetropolitan counties,,"888,540",,,,,,,,,,
,,Area actually reporting,97.0%,"1,204",18,577,376,47,562,"10,395","2,440","7,611",344
,,Estimated total,100.0%,"1,251",19,605,394,48,579,"10,718","2,516","7,847",355
,State Total,,"19,746,227","75,398",617,"5,433","3,918","24,045","45,303","339,282","50,781","272,765","15,736"
,,"Rate per 100,000 inhabitants",,381.8,3.1,27.5,19.8,121.8,229.4,"1,718.2",257.2,"1,381.4",79.7
NORTH CAROLINA,Metropolitan Statistical Area,,"7,727,957",,,,,,,,,,
,,Area actually reporting,99.1%,"25,907",358,"1,946","1,410","7,112","16,491","220,587","57,805","151,974","10,808"
,,Estimated total,100.0%,"26,053",359,"1,952","1,416","7,148","16,594","222,495","58,252","153,363","10,880"
,Cities outside metropolitan areas,,"648,863",,,,,,,,,,
,,Area actually reporting,92.1%,"3,655",71,192,145,835,"2,557","31,335","7,687","22,533","1,115"
,,Estimated total,100.0%,"3,958",77,198,151,907,"2,776","34,021","8,346","24,464","1,211"
,Nonmetropolitan counties,,"1,567,144",,,,,,,,,,
,,Area actually reporting,97.0%,"2,673",72,261,168,350,"1,990","28,309","12,393","14,423","1,493"
,,Estimated total,100.0%,"2,756",74,270,173,361,"2,051","29,181","12,775","14,867","1,539"
,State Total,,"9,943,964","32,767",510,"2,420","1,740","8,416","21,421","285,697","79,373","192,694","13,630"
,,"Rate per 100,000 inhabitants",,329.5,5.1,24.3,17.5,84.6,215.4,"2,873.1",798.2,"1,937.8",137.1
NORTH DAKOTA4,Metropolitan Statistical Area,,"363,187", ,,,,,,,,,
,,Area actually reporting,100.0%,"1,055",8,190,156,116,741,"8,298","1,369","6,359",570
,Cities outside metropolitan areas,,"180,439",,,,,,,,,,
,,Area actually reporting,100.0%,683,12,130,95,47,494,"5,385",897,"3,852",636
,Nonmetropolitan counties,,"195,856",,,,,,,,,,
,,Area actually reporting,99.3%,221,2,38,25,10,171,"1,909",438,"1,165",306
,,Estimated total,100.0%,222,2,38,25,10,172,"1,922",441,"1,173",308
,State Total,,"739,482","1,960",22,358,276,173,"1,407","15,605","2,707","11,384","1,514"
,,"Rate per 100,000 inhabitants",,265.1,3.0,48.4,37.3,23.4,190.3,"2,110.3",366.1,"1,539.5",204.7
OHIO5,Metropolitan Statistical Area,,"9,218,545",,,,,,,,,,
,,Area actually reporting,91.2%,"28,580",406,"3,963","3,274","11,782","12,429","255,451","64,006","175,491","15,954"
,,Estimated total,100.0%,"29,798",417,"4,233","3,479","12,195","12,953","274,917","67,601","190,658","16,658"
,Cities outside metropolitan areas,,"1,049,077",,,,,,,,,,
,,Area actually reporting,81.8%,"1,525",19,371,314,364,771,"26,877","5,139","21,197",541
,,Estimated total,100.0%,"1,861",23,451,369,445,942,"32,841","6,279","25,901",661
,Nonmetropolitan counties,,"1,326,541",,,,,,,,,,
,,Area actually reporting,90.4%,"1,234",22,318,223,102,792,"15,161","4,489","10,043",629
,,Estimated total,100.0%,"1,371",24,358,249,113,876,"16,770","4,965","11,109",696
,State Total,,"11,594,163","33,030",464,"5,042","4,097","12,753","14,771","324,528","78,845","227,668","18,015"
,,"Rate per 100,000 inhabitants",,284.9,4.0,43.5,35.3,110.0,127.4,"2,799.1",680.0,"1,963.6",155.4
OKLAHOMA4,Metropolitan Statistical Area,,"2,526,767",,,,,,,,,,
,,Area actually reporting,100.0%,"11,796",141,"1,321",960,"2,680","7,654","81,680","20,708","52,585","8,387"
,Cities outside metropolitan areas,,"728,921",,,,,,,,,,
,,Area actually reporting,100.0%,"3,189",24,372,264,337,"2,456","26,975","6,244","19,215","1,516"
,Nonmetropolitan counties,,"622,363",,,,,,,,,,
,,Area actually reporting,100.0%,759,10,84,53,31,634,"7,327","2,556","4,091",680
,State Total,,"3,878,051","15,744",175,"1,777","1,277","3,048","10,744","115,982","29,508","75,891","10,583"
,,"Rate per 100,000 inhabitants",,406.0,4.5,45.8,32.9,78.6,277.0,"2,990.7",760.9,"1,956.9",272.9
OREGON5,Metropolitan Statistical Area,,"3,317,292",,,,,,,,,,
,,Area actually reporting,90.0%,"7,436",55,"1,114",817,"1,840","4,427","92,252","12,754","71,579","7,919"
,,Estimated total,100.0%,"7,928",58,"1,232",900,"1,903","4,735","97,757","13,901","75,432","8,424"
,Cities outside metropolitan areas,,"306,040",,,,,,,,,,
,,Area actually reporting,94.1%,805,9,148,100,148,500,"10,629","1,780","8,250",599
,,Estimated total,100.0%,854,10,155,106,157,532,"11,299","1,892","8,770",637
,Nonmetropolitan counties,,"346,907",,,,,,,,,,
,,Area actually reporting,98.4%,434,13,69,45,32,320,"5,165","1,414","3,271",480
,,Estimated total,100.0%,442,13,71,46,33,325,"5,249","1,437","3,324",488
,State Total,,"3,970,239","9,224",81,"1,458","1,052","2,093","5,592","114,305","17,230","87,526","9,549"
,,"Rate per 100,000 inhabitants",,232.3,2.0,36.7,26.5,52.7,140.8,"2,879.0",434.0,"2,204.6",240.5
PENNSYLVANIA4,Metropolitan Statistical Area,,"11,296,254",,,,,,,,,,
,,Area actually reporting,99.5%,"37,560",587,"3,358","2,465","13,252","20,363","224,980","40,869","171,772","12,339"
,,Estimated total,100.0%,"37,654",588,"3,362","2,468","13,278","20,426","225,908","41,009","172,530","12,369"
,Cities outside metropolitan areas,,"688,032",,,,,,,,,,
,,Area actually reporting,97.9%,"1,470",6,136,102,150,"1,178","10,840","1,812","8,754",274
,,Estimated total,100.0%,"1,499",6,137,103,153,"1,203","11,068","1,850","8,938",280
,Nonmetropolitan counties,,"802,923",,,,,,,,,,
,,Area actually reporting,100.0%,"1,011",20,328,216,103,560,"10,040","2,861","6,788",391
,State Total,,"12,787,209","40,164",614,"3,827","2,787","13,534","22,189","247,016","45,720","188,256","13,040"
,,"Rate per 100,000 inhabitants",,314.1,4.8,29.9,21.8,105.8,173.5,"1,931.7",357.5,"1,472.2",102.0
PUERTO RICO,Metropolitan Statistical Area,,"3,394,621",,,,,,,,,,
,,Area actually reporting,100.0%,"8,134",657,55,41,"5,062","2,360","44,180","11,558","28,051","4,571"
,Cities outside metropolitan areas,,"153,776",,,,,,,,,,
,,Area actually reporting,100.0%,249,24,1,0,109,115,"1,442",477,897,68
,Total,,"3,548,397","8,383",681,56,41,"5,171","2,475","45,622","12,035","28,948","4,639"
,,"Rate per 100,000 inhabitants",,236.2,19.2,1.6,1.2,145.7,69.7,"1,285.7",339.2,815.8,130.7
RHODE ISLAND5,Metropolitan Statistical Area,,"1,055,173",,,,,,,,,,
,,Area actually reporting,100.0%,"2,287",25,341,247,528,"1,393","22,874","4,823","16,253","1,798"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,26,0,20,6,1,5,61,0,26,35
,State Total,,"1,055,173","2,313",25,361,253,529,"1,398","22,935","4,823","16,279","1,833"
,,"Rate per 100,000 inhabitants",,219.2,2.4,34.2,24.0,50.1,132.5,"2,173.6",457.1,"1,542.8",173.7
SOUTH CAROLINA4,Metropolitan Statistical Area,,"4,078,154",,,,,,, ,,,
,,Area actually reporting,98.4%,"19,644",252,"1,716","1,225","3,423","14,253","138,237","29,121","98,137","10,979"
,,Estimated total,100.0%,"19,942",255,"1,740","1,242","3,467","14,480","140,229","29,590","99,497","11,142"
,Cities outside metropolitan areas,,"208,220",,,,,,,,,,
,,Area actually reporting,95.7%,"1,677",19,104,81,307,"1,247","11,294","2,433","8,363",498
,,Estimated total,100.0%,"1,751",20,107,84,321,"1,303","11,797","2,541","8,736",520
,Nonmetropolitan counties,,"546,108",,,,,,,,,,
,,Area actually reporting,100.0%,"2,359",36,221,154,209,"1,893","15,191","4,590","9,361","1,240"
,State Total,,"4,832,482","24,052",311,"2,068","1,480","3,997","17,676","167,217","36,721","117,594","12,902"
,,"Rate per 100,000 inhabitants",,497.7,6.4,42.8,30.6,82.7,365.8,"3,460.3",759.9,"2,433.4",267.0
SOUTH DAKOTA4,Metropolitan Statistical Area,,"405,686", ,,,,,,,,,
,,Area actually reporting,99.5%,"1,374",9,259,238,150,956,"9,265","1,663","6,981",621
,,Estimated total,100.0%,"1,376",9,259,238,150,958,"9,285","1,667","6,996",622
,Cities outside metropolitan areas,,"218,451",,,,,,,,,,
,,Area actually reporting,95.8%,"1,168",6,163,139,43,956,"5,171",832,"4,032",307
,,Estimated total,100.0%,"1,220",6,171,146,45,998,"5,396",868,"4,208",320
,Nonmetropolitan counties,,"229,038",,,,,,,,,,
,,Area actually reporting,78.0%,144,4,27,22,4,109,953,221,681,51
,,Estimated total,100.0%,190,5,40,29,5,140,"1,221",283,873,65
,State Total,,"853,175","2,786",20,470,413,200,"2,096","15,902","2,818","12,077","1,007"
,,"Rate per 100,000 inhabitants",,326.5,2.3,55.1,48.4,23.4,245.7,"1,863.9",330.3,"1,415.5",118.0
TENNESSEE4,Metropolitan Statistical Area,,"5,053,537", ,,,,,,,,,
,,Area actually reporting,99.4%,"33,938",319,"2,154","1,575","6,823","24,642","162,661","36,810","115,487","10,364"
,,Estimated total,100.0%,"34,046",320,"2,164","1,582","6,837","24,725","163,447","36,930","116,117","10,400"
,Cities outside metropolitan areas,,"516,197",,,,,,,,,,
,,Area actually reporting,100.0%,"3,203",21,183,144,312,"2,687","21,421","4,146","16,367",908
,Nonmetropolitan counties,,"979,618",,,,,,,,,,
,,Area actually reporting,100.0%,"2,599",30,184,135,116,"2,269","15,579","5,566","8,722","1,291"
,State Total,,"6,549,352","39,848",371,"2,531","1,861","7,265","29,681","200,447","46,642","141,206","12,599"
,,"Rate per 100,000 inhabitants",,608.4,5.7,38.6,28.4,110.9,453.2,"3,060.6",712.2,"2,156.0",192.4
TEXAS4,Metropolitan Statistical Area,,"23,907,066",,,,,,,,,,
,,Area actually reporting,99.7%,"100,224","1,079","10,227","7,407","30,369","58,549","745,490","149,988","530,355","65,147"
,,Estimated total,100.0%,"100,400","1,080","10,252","7,428","30,409","58,659","746,997","150,305","531,426","65,266"
,Cities outside metropolitan areas,,"1,421,341",,,,,,,,,,
,,Area actually reporting,97.3%,"5,676",50,603,438,609,"4,414","43,056","10,053","31,360","1,643"
,,Estimated total,100.0%,"5,832",51,623,456,624,"4,534","44,192","10,320","32,187","1,685"
,Nonmetropolitan counties,,"1,628,551",,,,,,,,,,
,,Area actually reporting,98.2%,"3,117",52,502,342,145,"2,418","22,326","8,450","12,310","1,566"
,,Estimated total,100.0%,"3,182",53,518,352,148,"2,463","22,745","8,609","12,541","1,595"
,State Total,,"26,956,958","109,414","1,184","11,393","8,236","31,181","65,656","813,934","169,234","576,154","68,546"
,,"Rate per 100,000 inhabitants",,405.9,4.4,42.3,30.6,115.7,243.6,"3,019.4",627.8,"2,137.3",254.3
UTAH5,Metropolitan Statistical Area,,"2,627,376",,,,,,,,,,
,,Area actually reporting,99.8%,"5,739",54,"1,290",839,"1,287","3,108","78,386","10,465","61,010","6,911"
,,Estimated total,100.0%,"5,749",54,"1,292",841,"1,289","3,114","78,558","10,488","61,145","6,925"
,Cities outside metropolitan areas,,"140,374",,,,,,,,,,
,,Area actually reporting,95.9%,287,1,100,63,13,173,"3,526",559,"2,808",159
,,Estimated total,100.0%,300,1,105,67,14,180,"3,678",583,"2,929",166
,Nonmetropolitan counties,,"175,152",,,,,,,,,,
,,Area actually reporting,97.5%,290,12,55,36,9,214,"2,414",436,"1,776",202
,,Estimated total,100.0%,297,12,57,37,9,219,"2,475",447,"1,821",207
,State Total,,"2,942,902","6,346",67,"1,454",945,"1,312","3,513","84,711","11,518","65,895","7,298"
,,"Rate per 100,000 inhabitants",,215.6,2.3,49.4,32.1,44.6,119.4,"2,878.5",391.4,"2,239.1",248.0
VERMONT4,Metropolitan Statistical Area,,"215,526",,,,,,,,,,
,,Area actually reporting,100.0%,214,2,22,20,24,166,"4,265",725,"3,427",113
,Cities outside metropolitan areas,,"207,162",,,,,,,,,,
,,Area actually reporting,99.9%,260,1,47,41,38,174,"3,536",626,"2,852",58
,,Estimated total,100.0%,260,1,47,41,38,174,"3,541",627,"2,856",58
,Nonmetropolitan counties,,"203,874",, ,,,,,,,,
,,Area actually reporting,100.0%,148,7,41,38,8,92,"1,745",682,990,73
,State Total,,"626,562",622,10,110,99,70,432,"9,551","2,034","7,273",244
,,"Rate per 100,000 inhabitants",,99.3,1.6,17.6,15.8,11.2,68.9,"1,524.4",324.6,"1,160.8",38.9
VIRGINIA4,Metropolitan Statistical Area,,"7,266,550",,,,,,,,,,
,,Area actually reporting,99.9%,"14,412",284,"1,880","1,206","4,039","8,209","143,762","19,725","117,178","6,859"
,,Estimated total,100.0%,"14,413",284,"1,880","1,206","4,039","8,210","143,779","19,727","117,192","6,860"
,Cities outside metropolitan areas,,"264,412",,,,,,,,,,
,,Area actually reporting,98.7%,694,15,113,65,144,422,"7,385","1,130","6,060",195
,,Estimated total,100.0%,702,15,113,65,146,428,"7,484","1,145","6,141",198
,Nonmetropolitan counties,,"795,327",,,,,,,,,,
,,Area actually reporting,100.0%,"1,225",39,317,161,107,762,"9,457","2,250","6,600",607
,State Total,,"8,326,289","16,340",338,"2,310","1,432","4,292","9,400","160,720","23,122","129,933","7,665"
,,"Rate per 100,000 inhabitants",,196.2,4.1,27.7,17.2,51.5,112.9,"1,930.3",277.7,"1,560.5",92.1
WASHINGTON5,Metropolitan Statistical Area,,"6,347,580",,,,,,,,,,
,,Area actually reporting,99.9%,"18,604",159,"2,438","1,954","5,439","10,568","241,803","49,672","163,026","29,105"
,,Estimated total,100.0%,"18,611",159,"2,439","1,955","5,441","10,572","241,934","49,694","163,120","29,120"
,Cities outside metropolitan areas,,"294,301",,,,,,,,,,
,,Area actually reporting,97.7%,944,7,170,144,148,619,"12,503","2,897","8,665",941
,,Estimated total,100.0%,966,7,173,147,152,634,"12,803","2,966","8,873",964
,Nonmetropolitan counties,,"419,649",,,,,,,,,,
,,Area actually reporting,100.0%,559,8,83,69,47,421,"6,969","2,630","3,776",563
,State Total,,"7,061,530","20,136",174,"2,695","2,171","5,640","11,627","261,706","55,290","175,769","30,647"
,,"Rate per 100,000 inhabitants",,285.2,2.5,38.2,30.7,79.9,164.7,"3,706.1",783.0,"2,489.1",434.0
WEST VIRGINIA4,Metropolitan Statistical Area,,"1,138,730",,,,,,,,,,
,,Area actually reporting,92.8%,"3,310",44,333,175,530,"2,403","26,935","6,481","19,081","1,373"
,,Estimated total,100.0%,"3,526",46,348,187,560,"2,572","29,155","6,857","20,830","1,468"
,Cities outside metropolitan areas,,"190,438",,,,,,,,,,
,,Area actually reporting,58.2%,425,6,29,22,29,361,"2,211",385,"1,764",62
,,Estimated total,100.0%,721,10,41,33,50,620,"3,801",662,"3,032",107
,Nonmetropolitan counties,,"521,158",,,,,,,,,,
,,Area actually reporting,89.6%,"1,197",16,99,54,37,"1,045","4,205","1,303","2,614",288
,,Estimated total,100.0%,"1,341",18,116,65,41,"1,166","4,692","1,454","2,917",321
,State Total,,"1,850,326","5,588",74,505,285,651,"4,358","37,648","8,973","26,779","1,896"
,,"Rate per 100,000 inhabitants",,302.0,4.0,27.3,15.4,35.2,235.5,"2,034.7",484.9,"1,447.3",102.5
WISCONSIN5,Metropolitan Statistical Area,,"4,251,567",,,,,,,,,,
,,Area actually reporting,96.7%,"14,725",142,"1,232",851,"4,918","8,433","95,066","16,637","69,341","9,088"
,,Estimated total,100.0%,"14,890",143,"1,259",872,"4,961","8,527","97,688","16,979","71,524","9,185"
,Cities outside metropolitan areas,,"637,105",,,,,,,,,,
,,Area actually reporting,95.2%,"1,019",11,214,163,73,721,"14,099","1,715","12,054",330
,,Estimated total,100.0%,"1,072",12,226,172,77,757,"14,813","1,802","12,664",347
,Nonmetropolitan counties,,"868,892",,,,,,,,,,
,,Area actually reporting,100.0%,752,10,189,124,28,525,"7,737","2,435","4,915",387
,State Total,,"5,757,564","16,714",165,"1,674","1,168","5,066","9,809","120,238","21,216","89,103","9,919"
,,"Rate per 100,000 inhabitants",,290.3,2.9,29.1,20.3,88.0,170.4,"2,088.3",368.5,"1,547.6",172.3
WYOMING4,Metropolitan Statistical Area,,"178,196", ,,,,,, ,,,
,,Area actually reporting,100.0%,305,6,37,25,30,232,"4,292",733,"3,356",203
,Cities outside metropolitan areas,,"246,602",,,,,,,,,,
,,Area actually reporting,97.4%,580,6,80,61,18,476,"5,806",707,"4,816",283
,,Estimated total,100.0%,594,6,81,62,18,489,"5,962",726,"4,945",291
,Nonmetropolitan counties,,"159,355",, ,,, ,,,,,
,,Area actually reporting,91.8%,222,4,50,35,5,163,"1,123",211,812,100
,,Estimated total,100.0%,243,4,56,39,5,178,"1,223",230,884,109
,State Total,,"584,153","1,142",16,174,126,53,899,"11,477","1,689","9,185",603
,,"Rate per 100,000 inhabitants",,195.5,2.7,29.8,21.6,9.1,153.9,"1,964.7",289.1,"1,572.4",103.2
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
4  This state's agencies submitted rape data according to the revised UCR definition of rape.  ,,,,,,,,,,,,,
5  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
6  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services.,,,,,,,,,,,,,
"7  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
