Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,"Rate per 100,000 inhabitants",,613.0,6.0,70.3,54.0,86.8,449.9,"3,704.8","1,029.9","2,391.8",283.2
NEW YORK,Metropolitan Statistical Area,,"18,238,153",,,,,,,,,,
,,Area actually reporting,99.4%,,626,,"2,296","26,913","44,671","330,555","50,561","265,122","14,872"
,,Estimated total,100.0%,"75,338",627,"2,998","2,304","26,959","44,754","332,107","50,808","266,372","14,927"
,Cities outside metropolitan areas,,"519,791",,,,,,,,,,
,,Area actually reporting,95.7%,,3,,116,209,731,"14,041","2,431","11,385",225
,,Estimated total,100.0%,"1,141",3,157,121,218,763,"14,665","2,539","11,891",235
,Nonmetropolitan counties,,"893,183",,,,,,,,,,
,,Area actually reporting,100.0%,893,18,198,152,64,613,"11,826","3,095","8,411",320
,State Total,,"19,651,127","77,372",648,"3,353","2,577","27,241","46,130","358,598","56,442","286,674","15,482"
,,"Rate per 100,000 inhabitants",,393.7,3.3,17.1,13.1,138.6,234.7,"1,824.8",287.2,"1,458.8",78.8
NORTH CAROLINA,Metropolitan Statistical Area,,"7,627,844",,,,,,,,,,
,,Area actually reporting,98.8%,,352,,"1,403","7,776","16,254","235,075","65,304","158,115","11,656"
,,Estimated total,100.0%,"26,427",353,"1,841","1,415","7,830","16,403","237,873","65,970","160,141","11,762"
,Cities outside metropolitan areas,,"645,472",,,,,,,,,,
,,Area actually reporting,92.6%,,51,,173,937,"2,529","32,546","8,423","23,035","1,088"
,,Estimated total,100.0%,"4,042",55,243,187,"1,012","2,732","35,163","9,100","24,888","1,175"
,Nonmetropolitan counties,,"1,574,744",,,,,,,,,,
,,Area actually reporting,94.6%,,58,,207,480,"2,250","33,123","14,788","16,756","1,579"
,,Estimated total,100.0%,"3,231",61,285,219,507,"2,378","35,013","15,632","17,712","1,669"
,State Total,,"9,848,060","33,700",469,"2,369","1,821","9,349","21,513","308,049","90,702","202,741","14,606"
,,"Rate per 100,000 inhabitants",,342.2,4.8,24.1,18.5,94.9,218.4,"3,128.0",921.0,"2,058.7",148.3
NORTH DAKOTA4,Metropolitan Statistical Area,,"354,758", ,,,,,,,,,
,,Area actually reporting,100.0%,"1,177",7,198,142,110,862,"8,402","1,699","6,182",521
,Cities outside metropolitan areas,,"169,949",,,,,,,,,,
,,Area actually reporting,98.6%,,6,108,,46,434,"4,834",777,"3,445",612
,,Estimated total,100.0%,602,6,109,72,47,440,"4,904",788,"3,495",621
,Nonmetropolitan counties,,"198,686",,,,,,,,,,
,,Area actually reporting,99.3%,,3,23,,5,143,"1,829",444,"1,113",272
,,Estimated total,100.0%,175,3,23,16,5,144,"1,842",447,"1,121",274
,State Total,,"723,393","1,954",16,330,230,162,"1,446","15,148","2,934","10,798","1,416"
,,"Rate per 100,000 inhabitants",,270.1,2.2,45.6,31.8,22.4,199.9,"2,094.0",405.6,"1,492.7",195.7
OHIO5,Metropolitan Statistical Area,,"9,189,827",,,,,,,,,,
,,Area actually reporting,93.0%,,409,"2,727",,"13,349","12,184","267,063","74,511","175,070","17,482"
,,Estimated total,100.0%,"30,094",418,"3,411","2,377","13,695","12,570","283,543","77,792","187,702","18,049"
,Cities outside metropolitan areas,,"1,047,030",,,,,,,,,,
,,Area actually reporting,83.9%,,9,246,,446,712,"30,023","6,226","23,211",586
,,Estimated total,100.0%,"1,729",11,339,239,531,848,"35,766","7,417","27,651",698
,Nonmetropolitan counties,,"1,333,951",,,,,,,,,,
,,Area actually reporting,91.8%,,24,250,,130,770,"17,831","5,714","11,396",721
,,Estimated total,100.0%,"1,298",26,291,208,142,839,"19,422","6,224","12,413",785
,State Total,,"11,570,808","33,121",455,"4,041","2,824","14,368","14,257","338,731","91,433","227,766","19,532"
,,"Rate per 100,000 inhabitants",,286.2,3.9,34.9,24.4,124.2,123.2,"2,927.5",790.2,"1,968.5",168.8
OKLAHOMA5,Metropolitan Statistical Area,,"2,500,215",,,,,,,,,,
,,Area actually reporting,100.0%,"13,006",156,"1,653","1,293","2,700","8,497","90,943","23,527","58,338","9,078"
,Cities outside metropolitan areas,,"723,295",,,,,,,,,,
,,Area actually reporting,100.0%,"3,166",21,407,304,292,"2,446","27,502","7,002","19,046","1,454"
,Nonmetropolitan counties,,"627,058",,,,,,,,,,
,,Area actually reporting,100.0%,817,18,120,78,39,640,"7,612","2,819","4,111",682
,State Total,,"3,850,568","16,989",195,"2,180","1,675","3,031","11,583","126,057","33,348","81,495","11,214"
,,"Rate per 100,000 inhabitants",,441.2,5.1,56.6,43.5,78.7,300.8,"3,273.7",866.1,"2,116.4",291.2
OREGON5,Metropolitan Statistical Area,,"3,277,203",,,,,,,,,,
,,Area actually reporting,99.6%,,58,,"1,197","2,234","4,674","106,257","16,988","80,581","8,688"
,,Estimated total,100.0%,"8,537",58,"1,548","1,201","2,242","4,689","106,671","17,050","80,905","8,716"
,Cities outside metropolitan areas,,"303,728",,,,,,,,,,
,,Area actually reporting,97.3%,,7,,159,122,564,"12,331","2,127","9,543",661
,,Estimated total,100.0%,929,7,217,163,125,580,"12,678","2,187","9,811",680
,Nonmetropolitan counties,,"349,134",,,,,,,,,,
,,Area actually reporting,97.0%,,15,,93,29,331,"5,227","1,486","3,289",452
,,Estimated total,100.0%,518,15,132,95,30,341,"5,388","1,532","3,390",466
,State Total,,"3,930,065","9,984",80,"1,897","1,459","2,397","5,610","124,737","20,769","94,106","9,862"
,,"Rate per 100,000 inhabitants",,254.0,2.0,48.3,37.1,61.0,142.7,"3,173.9",528.5,"2,394.5",250.9
"PENNSYLVANIA4, 6",Metropolitan Statistical Area,,"11,277,147",,,,,,,,,,
,,Area actually reporting,99.4%,,553,"3,308",,"14,464","21,664","239,427","46,396","180,021","13,010"
,,Estimated total,100.0%,"40,106",553,"3,317","2,318","14,496","21,740","240,562","46,574","180,941","13,047"
,Cities outside metropolitan areas,,"682,385",,,,,,,,,,
,,Area actually reporting,97.3%,,6,121,,168,"1,339","11,751","2,091","9,383",277
,,Estimated total,100.0%,"1,679",6,124,87,173,"1,376","12,075","2,149","9,641",285
,Nonmetropolitan counties,,"814,269",,,,,,,,,,
,,Area actually reporting,100.0%,"1,064",35,333,233,93,603,"10,603","3,311","6,854",438
,State Total,,"12,773,801","42,849",594,"3,774","2,638","14,762","23,719","263,240","52,034","197,436","13,770"
,,"Rate per 100,000 inhabitants",,335.4,4.7,29.5,20.7,115.6,185.7,"2,060.8",407.3,"1,545.6",107.8
PUERTO RICO,Metropolitan Statistical Area,,"3,459,216",,,,,,,,,,
,,Area actually reporting,100.0%,"8,986",845,33,25,"5,889","2,219","46,957","13,267","28,257","5,433"
,Cities outside metropolitan areas,,"155,870",,,,,,,,,,
,,Area actually reporting,100.0%,342,38,1,1,127,176,"1,894",694,"1,103",97
,Total,,"3,615,086","9,328",883,34,26,"6,016","2,395","48,851","13,961","29,360","5,530"
,,"Rate per 100,000 inhabitants",,258.0,24.4,0.9,0.7,166.4,66.3,"1,351.3",386.2,812.2,153.0
RHODE ISLAND4,Metropolitan Statistical Area,,"1,051,511",,,,,,,,,,
,,Area actually reporting,100.0%,"2,678",31,425,297,684,"1,538","25,622","5,606","17,809","2,207"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,27,0,15,10,0,12,56,1,29,26
,State Total,,"1,051,511","2,705",31,440,307,684,"1,550","25,678","5,607","17,838","2,233"
,,"Rate per 100,000 inhabitants",,257.2,2.9,41.8,29.2,65.0,147.4,"2,442.0",533.2,"1,696.4",212.4
SOUTH CAROLINA4,Metropolitan Statistical Area,,"4,017,846",,,,,,, ,,,
,,Area actually reporting,99.7%,,209,"1,795",,"3,440","14,455","144,541","32,985","100,739","10,817"
,,Estimated total,100.0%,"19,941",209,"1,797","1,256","3,447","14,488","144,952","33,057","101,059","10,836"
,Cities outside metropolitan areas,,"208,133",,,,,,,,,,
,,Area actually reporting,97.8%,,37,151,,323,"1,400","11,953","2,796","8,710",447
,,Estimated total,100.0%,"1,954",38,154,108,330,"1,432","12,223","2,859","8,907",457
,Nonmetropolitan counties,,"548,860",,,,,,,,,,
,,Area actually reporting,100.0%,"2,383",50,220,154,195,"1,918","15,874","5,042","9,545","1,287"
,State Total,,"4,774,839","24,278",297,"2,171","1,518","3,972","17,838","173,049","40,958","119,511","12,580"
,,"Rate per 100,000 inhabitants",,508.5,6.2,45.5,31.8,83.2,373.6,"3,624.2",857.8,"2,502.9",263.5
SOUTH DAKOTA4,Metropolitan Statistical Area,,"397,651", ,,,,,,,,,
,,Area actually reporting,99.3%,,5,267,,119,838,"9,269","1,971","6,789",509
,,Estimated total,100.0%,"1,232",5,268,194,119,840,"9,304","1,979","6,814",511
,Cities outside metropolitan areas,,"216,179",,,,,,,,,,
,,Area actually reporting,95.8%,,7,195,,29,977,"5,395","1,005","4,060",330
,,Estimated total,100.0%,"1,260",7,203,135,30,"1,020","5,633","1,049","4,239",345
,Nonmetropolitan counties,,"231,047",,,,,,,,,,
,,Area actually reporting,78.0%,,6,22,,8,106,967,268,635,64
,,Estimated total,100.0%,182,8,28,20,10,136,"1,240",344,814,82
,State Total,,"844,877","2,674",20,499,349,159,"1,996","16,177","3,372","11,867",938
,,"Rate per 100,000 inhabitants",,316.5,2.4,59.1,41.3,18.8,236.2,"1,914.7",399.1,"1,404.6",111.0
TENNESSEE4,Metropolitan Statistical Area,,"5,003,806", ,,,,,,,,,
,,Area actually reporting,99.4%,,274,"1,989",,"6,854","23,330","166,628","39,978","117,086","9,564"
,,Estimated total,100.0%,"32,551",275,"1,997","1,395","6,867","23,412","167,463","40,121","117,744","9,598"
,Cities outside metropolitan areas,,"514,169",,,,,,,,,,
,,Area actually reporting,100.0%,"3,154",17,189,132,331,"2,617","22,248","4,697","16,671",880
,Nonmetropolitan counties,,"978,003",,,,,,,,,,
,,Area actually reporting,100.0%,"2,659",36,165,115,109,"2,349","16,918","6,181","9,387","1,350"
,State Total,,"6,495,978","38,364",328,"2,351","1,642","7,307","28,378","206,629","50,999","143,802","11,828"
,,"Rate per 100,000 inhabitants",,590.6,5.0,36.2,25.3,112.5,436.9,"3,180.9",785.1,"2,213.7",182.1
TEXAS5,Metropolitan Statistical Area,,"23,409,495",,,,,,,,,,
,,Area actually reporting,99.9%,,"1,037",,"6,616","31,004","58,295","789,124","169,961","556,848","62,315"
,,Estimated total,100.0%,"99,065","1,037","8,669","6,624","31,020","58,339","789,928","170,112","557,452","62,364"
,Cities outside metropolitan areas,,"1,415,777",,,,,,,,,,
,,Area actually reporting,97.5%,,50,,521,625,"4,394","46,171","11,056","33,426","1,689"
,,Estimated total,100.0%,"5,852",51,663,534,637,"4,501","47,274","11,325","34,222","1,727"
,Nonmetropolitan counties,,"1,622,921",,,,,,,,,,
,,Area actually reporting,98.1%,,50,,339,141,"2,406","24,073","9,284","13,166","1,623"
,,Estimated total,100.0%,"3,081",51,434,346,144,"2,452","24,532","9,461","13,417","1,654"
,State Total,,"26,448,193","107,998","1,139","9,766","7,504","31,801","65,292","861,734","190,898","605,091","65,745"
,,"Rate per 100,000 inhabitants",,408.3,4.3,36.9,28.4,120.2,246.9,"3,258.2",721.8,"2,287.8",248.6
UTAH5,Metropolitan Statistical Area,,"2,588,821",,,,,,,,,,
,,Area actually reporting,99.8%,,37,"1,242",,"1,213","3,270","79,055","12,209","59,737","7,109"
,,Estimated total,100.0%,"5,772",37,"1,244",879,"1,215","3,276","79,240","12,237","59,879","7,124"
,Cities outside metropolitan areas,,"136,929",,,,,,,,,,
,,Area actually reporting,95.8%,,4,128,,9,229,"3,537",544,"2,837",156
,,Estimated total,100.0%,385,4,133,86,9,239,"3,693",568,"2,962",163
,Nonmetropolitan counties,,"175,122",,,,,,,,,,
,,Area actually reporting,97.1%,,8,44,,18,261,"2,576",513,"1,890",173
,,Estimated total,100.0%,341,8,45,29,19,269,"2,653",528,"1,947",178
,State Total,,"2,900,872","6,498",49,"1,422",994,"1,243","3,784","85,586","13,333","64,788","7,465"
,,"Rate per 100,000 inhabitants",,224.0,1.7,49.0,34.3,42.8,130.4,"2,950.4",459.6,"2,233.4",257.3
VERMONT4,Metropolitan Statistical Area,,"214,620",,,,,,,,,,
,,Area actually reporting,100.0%,257,3,40,28,31,183,"5,389",961,"4,351",77
,Cities outside metropolitan areas,,"206,762",,,,,,,,,,
,,Area actually reporting,99.9%,,1,49,,29,255,"5,405","1,099","4,154",152
,,Estimated total,100.0%,334,1,49,34,29,255,"5,411","1,100","4,159",152
,Nonmetropolitan counties,,"205,248",, ,,,,,,,,
,,Area actually reporting,100.0%,168,6,41,29,13,108,"3,075","1,252","1,718",105
,State Total,,"626,630",759,10,130,91,73,546,"13,875","3,313","10,228",334
,,"Rate per 100,000 inhabitants",,121.1,1.6,20.7,14.5,11.6,87.1,"2,214.2",528.7,"1,632.2",53.3
VIRGINIA4,Metropolitan Statistical Area,,"7,195,364",,,,,,,,,,
,,Area actually reporting,99.9%,,271,"1,887",,"4,311","7,979","151,579","22,448","121,447","7,684"
,,Estimated total,100.0%,"14,453",271,"1,888","1,319","4,312","7,982","151,640","22,456","121,497","7,687"
,Cities outside metropolitan areas,,"264,175",,,,,,,,,,
,,Area actually reporting,100.0%,653,9,107,75,153,384,"8,260","1,354","6,645",261
,Nonmetropolitan counties,,"800,866",,,,,,,,,,
,,Area actually reporting,100.0%,"1,099",36,267,187,100,696,"10,754","2,830","7,336",588
,State Total,,"8,260,405","16,205",316,"2,262","1,581","4,565","9,062","170,654","26,640","135,478","8,536"
,,"Rate per 100,000 inhabitants",,196.2,3.8,27.4,19.1,55.3,109.7,"2,065.9",322.5,"1,640.1",103.3
"WASHINGTON5,6",Metropolitan Statistical Area,,"6,256,806",,,,,,,,,,
,,Area actually reporting,100.0%,"18,654",139,"2,322","1,611","5,615","10,578","237,420","52,137","158,431","26,852"
,Cities outside metropolitan areas,,"294,834",,,,,,,,,,
,,Area actually reporting,98.6%,,10,146,,164,606,"13,153","3,166","9,051",936
,,Estimated total,100.0%,939,10,148,109,166,615,"13,345","3,212","9,183",950
,Nonmetropolitan counties,,"419,766",,,,,,,,,,
,,Area actually reporting,100.0%,560,11,103,77,38,408,"7,897","3,004","4,296",597
,State Total,,"6,971,406","20,153",160,"2,573","1,797","5,819","11,601","258,662","58,353","171,910","28,399"
,,"Rate per 100,000 inhabitants",,289.1,2.3,36.9,25.8,83.5,166.4,"3,710.3",837.0,"2,465.9",407.4
WEST VIRGINIA4,Metropolitan Statistical Area,,"1,139,033",,,,,,,,,,
,,Area actually reporting,92.2%,,28,438,,513,"2,350","26,541","6,620","18,624","1,297"
,,Estimated total,100.0%,"3,578",29,465,325,549,"2,535","28,758","7,042","20,327","1,389"
,Cities outside metropolitan areas,,"190,615",,,,,,,,,,
,,Area actually reporting,71.0%,,5,44,,39,384,"3,272",661,"2,515",96
,,Estimated total,100.0%,665,7,62,43,55,541,"4,609",931,"3,543",135
,Nonmetropolitan counties,,"524,656",,,,,,,,,,
,,Area actually reporting,88.2%,,22,111,,41,994,"4,979","1,500","3,133",346
,,Estimated total,100.0%,"1,325",25,126,88,47,"1,127","5,646","1,701","3,553",392
,State Total,,"1,854,304","5,568",61,653,456,651,"4,203","39,013","9,674","27,423","1,916"
,,"Rate per 100,000 inhabitants",,300.3,3.3,35.2,24.6,35.1,226.7,"2,103.9",521.7,"1,478.9",103.3
"WISCONSIN5,6",Metropolitan Statistical Area,,"4,236,498",,,,,,,,,,
,,Area actually reporting,98.1%,,143,,938,"4,706","7,825","99,613","19,037","74,026","6,550"
,,Estimated total,100.0%,"14,019",143,"1,278",949,"4,725","7,873","101,016","19,245","75,179","6,592"
,Cities outside metropolitan areas,,"633,490",,,,,,,,,,
,,Area actually reporting,97.0%,,8,,209,78,843,"15,510","2,043","13,132",335
,,Estimated total,100.0%,"1,204",8,247,216,80,869,"15,991","2,106","13,540",345
,Nonmetropolitan counties,,"872,725",,,,,,,,,,
,,Area actually reporting,98.8%,,11,,129,29,529,"8,574","2,959","5,170",445
,,Estimated total,100.0%,738,11,162,131,29,536,"8,681","2,996","5,234",451
,State Total,,"5,742,713","15,961",162,"1,687","1,296","4,834","9,278","125,688","24,347","93,953","7,388"
,,"Rate per 100,000 inhabitants",,277.9,2.8,29.4,22.6,84.2,161.6,"2,188.7",424.0,"1,636.0",128.6
WYOMING,Metropolitan Statistical Area,,"175,628", ,,,,,, ,,,
,,Area actually reporting,100.0%,376,4,40,31,30,302,"4,993",818,"3,948",227
,Cities outside metropolitan areas,,"244,239",,,,,,,,,,
,,Area actually reporting,97.1%,,4,,80,42,452,"6,179",823,"5,102",254
,,Estimated total,100.0%,619,4,107,82,43,465,"6,363",847,"5,254",262
,Nonmetropolitan counties,,"162,791",, ,,, ,,,,,
,,Area actually reporting,92.6%,,8,,29,2,138,"1,346",269,995,82
,,Estimated total,100.0%,200,9,40,31,2,149,"1,453",290,"1,074",89
,State Total,,"582,658","1,195",17,187,144,75,916,"12,809","1,955","10,276",578
,,"Rate per 100,000 inhabitants",,205.1,2.9,32.1,24.7,12.9,157.2,"2,198.4",335.5,"1,763.6",99.2
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2  The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
3  The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape.  See data declaration for further explanation.,,,,,,,,,,,,,
4  This state's agencies submitted rape data according to the revised UCR definition of rape.  ,,,,,,,,,,,,,
5  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
"6  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
7  Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
