Table 5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,
"by State, 2001",,,,,,,,,,,,,,
Area,Population,Crime Index Total,Modified Crime Index Total2,Violent Crime3,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Metropolitan Statistical Area,"900,872",,,,,,,,,,,,,
   Area actually reporting,100.0%,"51,559",,"4,290","47,269",34,280,"1,046","2,930",,"6,071","35,820","5,378",
Cities outside metropolitan areas,"407,707",,,,,,,,,,,,,
   Area actually reporting,84.9%,"14,245",,566,"13,679",0,101,60,405,,"1,946","11,095",638,
   Estimated totals,100.0%,"16,775",,667,"16,108",0,119,71,477,,"2,292","13,065",751,
Rural,"404,656",,,,,,,,,,,,,
   Area actually reporting,88.9%,"5,193",,228,"4,965",8,28,10,182,,"1,242","3,402",321,
   Estimated totals,100.0%,"5,843",,257,"5,586",9,32,11,205,,"1,397","3,828",361,
State Total,"1,713,235","74,177",,"5,214","68,963",43,431,"1,128","3,612",0,"9,760","52,713","6,490",
"   Rate per 100,000 inhabitants",,"4,329.6", ,304.3,"4,025.3",2.5,25.2,65.8,210.8,0.0,569.7,"3,076.8",378.8,
,, ,, ,,,,,,,,`,,
NEVADA, , ,,, ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"1,842,036",,,,,,,,,,,,,
   Area actually reporting,100.0%,"82,852",,"11,475","71,377",175,782,"4,853","5,665",,"16,284","40,764","14,329",
Cities outside metropolitan areas,"45,517",,,,,,,,,,,,,
   Area actually reporting,100.0%,"1,788",,117,"1,671",1,14,15,87,,326,"1,246",99,
Rural,"218,521",,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,205",,767,"4,438",4,87,64,612,,"1,101","3,063",274,
State Total,"2,106,074","89,845",,"12,359","77,486",180,883,"4,932","6,364",0,"17,711","45,073","14,702",
"   Rate per 100,000 inhabitants",,"4,266.0", ,586.8,"3,679.2",8.5,41.9,234.2,302.2,0.0,840.9,"2,140.1",698.1,
,,,,,,,,,,,,,,
NEW HAMPSHIRE, , ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"747,600",,,,,,,,,,,,,
   Area actually reporting,71.4%,"14,239",,"1,142","13,097",7,219,317,599,,"2,335","9,556","1,206",
   Estimated totals,100.0%,"17,900",,"1,393","16,507",7,288,355,743,,"2,968","12,046","1,493",
Cities outside metropolitan areas,"430,198",,,,,,,,,,,,,
   Area actually reporting,67.5%,"6,817",,392,"6,425",7,115,38,232,,"1,100","4,946",379,
   Estimated totals,100.0%,"10,102",,580,"9,522",10,170,56,344,,"1,630","7,330",562,
Rural,"81,383",,,,,,,,,,,,,
   Area actually reporting,5.8%,72,,10,62,0,0,2,8,,17,40,5,
   Estimated totals,100.0%,"1,231",,171,"1,060",0,0,34,137,,291,684,85,
State Total,"1,259,181","29,233",,"2,144","27,089",17,458,445,"1,224",0,"4,889","20,060","2,140",
"   Rate per 100,000 inhabitants",,"2,321.6", ,170.3,"2,151.3",1.4,36.4,35.3,97.2,0.0,388.3,"1,593.1",170.0,
,,,,,,,,,,,,,,
NEW JERSEY,, ,, , ,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"8,484,431",,,,,,,,,,,,,
   Area actually reporting,99.9%,"272,222",,"32,984","239,238",336,"1,277","14,079","17,292",,"46,716","154,919","37,603",
   Estimated totals,100.0%,"273,645",,"33,094","240,551",336,"1,278","14,110","17,370",,"46,812","156,031","37,708",
Cities outside metropolitan areas,None,, ,,,,,,,,,,,
Rural,None, ,,,,,,,,,,,,
State Total,"8,484,431","273,645",,"33,094","240,551",336,"1,278","14,110","17,370",0,"46,812","156,031","37,708",
"   Rate per 100,000 inhabitants",,"3,225.3", ,390.1,"2,835.2",4.0,15.1,166.3,204.7,0.0,551.7,"1,839.0",444.4,
,,,,,,,,,,,,,,
NEW MEXICO,,, ,, , ,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"1,045,351",,, , ,,,,,,,,,
   Area actually reporting,86.7%,"61,426",,"8,124","53,302",50,434,"2,061","5,579",,"11,820","36,006","5,476",
   Estimated totals,100.0%,"65,900",,"9,028","56,872",54,484,"2,199","6,291",,"12,919","38,064","5,889",
Cities outside metropolitan areas,"435,707",,,,,,,,,,,,,
   Area actually reporting,89.6%,"23,151",,"3,597","19,554",31,234,389,"2,943",,"4,563","14,140",851,
   Estimated totals,100.0%,"25,844",,"4,015","21,829",35,261,434,"3,285",,"5,094","15,785",950,
Rural,"348,088",,,,,,,,,,,,,
   Area actually reporting,86.7%,"4,889",,"1,080","3,809",9,91,54,926,,"1,334","2,217",258,
   Estimated totals,100.0%,"5,639",,"1,245","4,394",10,105,62,"1,068",,"1,539","2,557",298,
State Total,"1,829,146","97,383",,"14,288","83,095",99,850,"2,695","10,644",0,"19,552","56,406","7,137",
"   Rate per 100,000 inhabitants",,"5,324.0", ,781.1,"4,542.8",5.4,46.5,147.3,581.9,0.0,"1,068.9","3,083.7",390.2,
,,,,,,,,,,,,,,
NEW YORK,,,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"17,505,214", ,,,,,,,,,,,,
   Area actually reporting,85.7%,"474,734",,"90,627","384,107",897,"2,909","35,716","51,105",,"65,161","273,649","45,297",
   Estimated totals,100.0%,"523,111",,"94,801","428,310",937,"3,256","36,279","54,329",,"73,653","307,179","47,478",
Cities outside metropolitan areas,"602,372",,,,,,,,,,,,,
   Area actually reporting,92.5%,"16,682",,"1,352","15,330",7,135,190,"1,020",,"2,434","12,531",365,
   Estimated totals,100.0%,"18,041",,"1,462","16,579",8,146,205,"1,103",,"2,632","13,552",395,
Rural,"903,792",,,,,,,,,,,,,
   Area actually reporting,95.6%,"14,300",,"1,760","12,540",14,138,68,"1,540",,"3,935","8,209",396,
   Estimated totals,100.0%,"14,954",,"1,840","13,114",15,144,71,"1,610",,"4,115","8,585",414,
State Total,"19,011,378","556,106",,"98,103","458,003",960,"3,546","36,555","57,042",0,"80,400","329,316","48,287",
"   Rate per 100,000 inhabitants",,"2,925.1", ,516.0,"2,409.1",5.0,18.7,192.3,300.0,0.0,422.9,"1,732.2",254.0,
,,,,,,,,,,,,,,
NORTH CAROLINA,, ,,,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"5,529,566", ,,,,,,,,,,,,
   Area actually reporting,99.6%,"293,531",,"30,046","263,485",346,"1,478","10,971","17,251",,"68,285","176,077","19,123",
   Estimated totals,100.0%,"295,036",,"30,149","264,887",346,"1,482","11,006","17,315",,"68,568","177,129","19,190",
Cities outside metropolitan areas,"798,564",,,,,,,,,,,,,
   Area actually reporting,95.3%,"55,301",,"5,487","49,814",54,253,"1,529","3,651",,"12,635","34,849","2,330",
   Estimated totals,100.0%,"58,030",,"5,757","52,273",57,265,"1,604","3,831",,"13,259","36,569","2,445",
Rural,"1,858,138",,,,,,,,,,,,,
   Area actually reporting,98.4%,"50,363",,"4,487","45,876",100,331,683,"3,373",,"19,743","23,169","2,964",
   Estimated totals,100.0%,"51,176",,"4,559","46,617",102,336,694,"3,427",,"20,062","23,543","3,012",
State Total,"8,186,268","404,242",,"40,465","363,777",505,"2,083","13,304","24,573",0,"101,889","237,241","24,647",
"   Rate per 100,000 inhabitants",,"4,938.0",,494.3,"4,443.7",6.2,25.4,162.5,300.2,0.0,"1,244.6","2,898.0",301.1,
,,, ,,,,,,,,,,,
NORTH DAKOTA,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"280,536",,, ,,,,,,,,,,
   Area actually reporting,99.0%,"8,704",,313,"8,391",4,115,39,155,,"1,130","6,659",602,
   Estimated totals,100.0%,"8,805",,315,"8,490",4,116,39,156,,"1,141","6,741",608,
Cities outside metropolitan areas,"145,318",,,,,,,,,,,,,
   Area actually reporting,83.1%,"3,727",,93,"3,634",2,30,13,48,,417,"2,956",261,
   Estimated totals,100.0%,"4,485",,112,"4,373",2,36,16,58,,502,"3,557",314,
Rural,"208,594",,,,,,,,,,,,,
   Area actually reporting,75.5%,"1,547",,59,"1,488",1,9,4,45,,394,970,124,
   Estimated totals,100.0%,"2,049",,78,"1,971",1,12,5,60,,522,"1,285",164,
State Total,"634,448","15,339",,505,"14,834",7,164,60,274,0,"2,165","11,583","1,086",
"   Rate per 100,000 inhabitants",,"2,417.7", ,79.6,"2,338.1",1.1,25.8,9.5,43.2,0.0,341.2,"1,825.7",171.2,
,,,,,,,,,,,,,,
OHIO,,,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"9,230,336", ,,,,,,,,,,,,
   Area actually reporting,83.0%,"361,877",,"34,256","327,621",386,"3,546","15,612","14,712",,"74,997","216,310","36,314",
   Estimated totals,100.0%,"410,952",,"36,939","374,013",409,"3,929","16,511","16,090",,"83,290","251,374","39,349",
Cities outside metropolitan areas,"783,071",,,,,,,,,,,,,
   Area actually reporting,68.0%,"27,660",,"1,345","26,315",14,221,357,753,,"4,398","20,930",987,
   Estimated totals,100.0%,"40,679",,"1,978","38,701",21,325,525,"1,107",,"6,468","30,781","1,452",
Rural,"1,360,134",,,,,,,,,,,,,
   Area actually reporting,65.5%,"15,392",,724,"14,668",14,139,107,464,,"4,683","9,050",935,
   Estimated totals,100.0%,"23,507",,"1,106","22,401",22,212,163,709,,"7,152","13,821","1,428",
State Total,"11,373,541","475,138",,"40,023","435,115",452,"4,466","17,199","17,906",0,"96,910","295,976","42,229",
"   Rate per 100,000 inhabitants",,"4,177.6", ,351.9,"3,825.7",4.0,39.3,151.2,157.4,0.0,852.1,"2,602.3",371.3,
,,,,,,,,,,,,,,
OKLAHOMA,, ,,,,,,,,,,,,
,, ,, ,,,,,,,,,,
Metropolitan Statistical Area,"2,103,077",,,,,,,,,,,,,
   Area actually reporting,100.0%,"117,057",,"12,761","104,296",115,"1,070","2,425","9,151",,"23,827","70,512","9,957",
Cities outside metropolitan areas,"690,391",,,,,,,,,,,,,
   Area actually reporting,100.0%,"31,843", ,"3,247","28,596",26,297,273,"2,651",,"7,415","19,480","1,701",
Rural,"666,629",,,,,,,,,,,,,
   Area actually reporting,100.0%,"10,505",,"1,718","8,787",44,119,48,"1,507",,"3,331","4,545",911,
State Total,"3,460,097","159,405",,"17,726","141,679",185,"1,486","2,746","13,309",0,"34,573","94,537","12,569",
"   Rate per 100,000 inhabitants",,"4,607.0", ,512.3,"4,094.7",5.3,42.9,79.4,384.6,0.0,999.2,"2,732.2",363.3,
,,,,,,,,,,,,,,
OREGON,, ,, ,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"2,540,011",,,,,,,,,,,,,
   Area actually reporting,99.9%,"139,004",,"9,056","129,948",53,969,"2,459","5,575",,"19,684","97,704","12,560",
   Estimated totals,100.0%,"139,078",,"9,060","130,018",53,970,"2,460","5,577",,"19,694","97,758","12,566",
Cities outside metropolitan areas,"442,064",,,,,,,,,,,,,
   Area actually reporting,97.7%,"24,901",,994,"23,907",14,118,232,630,,"3,938","18,590","1,379",
   Estimated totals,100.0%,"25,494", ,"1,018","24,476",14,121,238,645,,"4,032","19,032","1,412",
Rural,"490,792",,,,,,,,,,,,,
   Area actually reporting,100.0%,"10,602",,572,"10,030",17,83,51,421,,"2,922","6,244",864,
State Total,"3,472,867","175,174",,"10,650","164,524",84,"1,174","2,749","6,643",,"26,648","123,034","14,842",
"   Rate per 100,000 inhabitants",,"5,044.1", ,306.7,"4,737.4",2.4,33.8,79.2,191.3,0.0,767.3,"3,542.7",427.4,
,,,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"10,396,568",,,,,,,,,,,,,
   Area actually reporting,88.2%,"295,409",,"43,333","252,076",573,"2,758","16,277","23,725",,"43,006","177,689","31,381",
   Estimated totals,100.0%,"324,947",,"46,079","278,868",599,"2,948","16,968","25,564",,"46,693","198,723","33,452",
Cities outside metropolitan areas,"798,876",,,,,,,,,,,,,
   Area actually reporting,67.6%,"14,807",,"1,799","13,008",15,152,253,"1,379",,"2,004","10,316",688,
   Estimated totals,100.0%,"21,912",,"2,662","19,250",22,225,374,"2,041",,"2,966","15,266","1,018",
Rural,"1,091,706",,,,,,,,,,,,,
   Area actually reporting,100.0%,"16,981",,"1,691","15,290",30,294,158,"1,209",,"4,686","9,361","1,243",
State Total,"12,287,150","363,840",,"50,432","313,408",651,"3,467","17,500","28,814",,"54,345","223,350","35,713",
"   Rate per 100,000 inhabitants",,"2,961.1", ,410.4,"2,550.7",5.3,28.2,142.4,234.5,0.0,442.3,"1,817.8",290.7,
,,,,,,,,,,,,,,
PUERTO RICO,, ,, ,,,,,,,,,,
,, , , , ,,,,,,,,,
Metropolitan Statistical Area,"3,247,020",,,,,,,,,,,,,
   Area actually reporting,100.0%,"62,440",,"10,234","52,206",666,160,"7,384","2,024",,"16,679","23,778","11,749",
Cities outside metropolitan areas,"592,790",,,,,,,,,,,,,
   Area actually reporting,100.0%,"7,677",,"1,169","6,508",78,27,615,449,,"3,252","2,362",894,
Total,"3,839,810","70,117",,"11,403","58,714",744,187,"7,999","2,473",0,"19,931","26,140","12,643",
"   Rate per 100,000 inhabitants",,"1,826.1", ,297.0,"1,529.1",19.4,4.9,208.3,64.4,0.0,519.1,680.8,329.3,
,,,,, , ,,,,,,,,
RHODE ISLAND,, ,, ,,,,,,,,,,
,,,,, ,,,,,,,,,
Metropolitan Statistical Area,"993,716",,,,,,,,,,,,,
   Area actually reporting,100.0%,"36,431",,"3,052","33,379",37,394,943,"1,678",,"6,278","22,193","4,908",
Cities outside metropolitan areas,"65,204",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,462",,210,"2,252",0,15,41,154,,542,"1,604",106,
Rural,,,,,,,,,,,,,,
   Area actually reporting,100.0%,127,,16,111,2,7,2,5,,4,78,29,
State Total,"1,058,920","39,020",,"3,278","35,742",39,416,986,"1,837",0,"6,824","23,875","5,043",
"   Rate per 100,000 inhabitants",,"3,684.9", ,309.6,"3,375.3",3.7,39.3,93.1,173.5,0.0,644.4,"2,254.7",476.2,
,,,,,,,,,,,,,,
SOUTH CAROLINA,, , , ,,,,,,,,,,
,, , , ,,,,,,,,,,
Metropolitan Statistical Area,"2,842,642",,,, ,,,,,,,,,
   Area actually reporting,99.2%,"138,184",,"19,317","118,867",168,"1,017","4,138","13,994",,"24,981","82,655","11,231",
   Estimated totals,100.0%,"139,343",,"19,439","119,904",168,"1,021","4,166","14,084",,"25,144","83,462","11,298",
Cities outside metropolitan areas,"307,734",,,,,,,,,,,,,
   Area actually reporting,88.1%,"19,756",,"3,665","16,091",28,113,445,"3,079",,"3,268","11,875",948,
   Estimated totals,100.0%,"22,414",,"4,158","18,256",32,128,505,"3,493",,"3,708","13,472","1,076",
Rural,"912,635",,,,,,,,,,,,,
   Area actually reporting,99.6%,"31,209",,"5,643","25,566",55,230,636,"4,722",,"7,944","15,246","2,376",
   Estimated totals,100.0%,"31,346",,"5,668","25,678",55,231,639,"4,743",,"7,979","15,313","2,386",
State Total,"4,063,011","193,103",,"29,265","163,838",255,"1,380","5,310","22,320",0,"36,831","112,247","14,760",
"   Rate per 100,000 inhabitants",,"4,752.7", ,720.3,"4,032.4",6.3,34.0,130.7,549.3,0.0,906.5,"2,762.7",363.3,
,,,,,,,,,,,,,,
SOUTH DAKOTA,, ,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"261,585",,, ,,,,,,,,,,
   Area actually reporting,93.7%,"8,936",,660,"8,276",4,196,71,389,,"1,419","6,446",411,
   Estimated totals,100.0%,"9,392",,686,"8,706",4,209,71,402,,"1,502","6,777",427,
Cities outside metropolitan areas,"208,963",,,,,,,,,,,,,
   Area actually reporting,90.8%,"5,428",,252,"5,176",1,89,15,147,,866,"4,102",208,
   Estimated totals,100.0%,"5,976",,278,"5,698",1,98,17,162,,953,"4,516",229,
Rural,"286,052",,,,,,,,,,,,,
   Area actually reporting,54.0%,"1,229",,112,"1,117",1,24,8,79,,341,690,86,
   Estimated totals,100.0%,"2,276",,207,"2,069",2,44,15,146,,632,"1,278",159,
State Total,"756,600","17,644",,"1,171","16,473",7,351,103,710,0,"3,087","12,571",815,
"   Rate per 100,000 inhabitants",,"2,332.0", ,154.8,"2,177.2",0.9,46.4,13.6,93.8,0.0,408.0,"1,661.5",107.7,
,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"3,896,594", ,, ,,,,,,,,,,
   Area actually reporting,99.9%,"233,467",,"34,829","198,638",348,"1,791","9,521","23,169",,"45,336","129,132","24,170",
   Estimated totals,100.0%,"233,675",,"34,850","198,825",348,"1,792","9,524","23,186",,"45,364","129,278","24,183",
Cities outside metropolitan areas,"651,837",,,,,,,,,,,,,
   Area actually reporting,99.9%,"36,745",,"4,319","32,426",27,199,540,"3,553",,"6,570","23,823","2,033",
   Estimated totals,100.0%,"36,861",,"4,325","32,536",27,200,542,"3,556",,"6,590","23,909","2,037",
Rural,"1,191,590",,,,,,,,,,,,,
   Area actually reporting,100.0%,"25,234",,"3,603","21,631",50,204,153,"3,196",,"7,751","11,828","2,052",
State Total,"5,740,021","295,770",,"42,778","252,992",425,"2,196","10,219","29,938",,"59,705","165,015","28,272",
"   Rate per 100,000 inhabitants",,"5,152.8", ,745.3,"4,407.5",7.4,38.3,178.0,521.6,0.0,"1,040.2","2,874.8",492.5,
,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"18,093,364", ,,,,,,,,,,,,
   Area actually reporting,99.9%,"1,007,510",,"112,536","894,974","1,184","7,211","34,426","69,715",,"181,724","614,997","98,253",
   Estimated totals,100.0%,"1,008,215",,"112,586","895,629","1,184","7,216","34,438","69,748",,"181,855","615,477","98,297",
Cities outside metropolitan areas,"1,442,562",,,,,,,,,,,,,
   Area actually reporting,98.4%,"60,685",,"5,869","54,816",57,592,709,"4,511",,"12,231","39,917","2,668",
   Estimated totals,100.0%,"61,452",,"5,949","55,503",58,599,717,"4,575",,"12,384","40,417","2,702",
Rural,"1,789,092",,,,,,,,,,,,,
   Area actually reporting,99.2%,"28,908",,"3,590","25,318",89,351,191,"2,959",,"10,042","13,621","1,655",
   Estimated totals,100.0%,"29,142",,"3,620","25,522",90,354,193,"2,983",,"10,123","13,731","1,668",
State Total,"21,325,018","1,098,809",,"122,155","976,654","1,332","8,169","35,348","77,306",0,"204,362","669,625","102,667",
"   Rate per 100,000 inhabitants",,"5,152.7", ,572.8,"4,579.9",6.2,38.3,165.8,362.5,0.0,958.3,"3,140.1",481.4,
,,,,,,,,,,,,,,
UTAH,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,736,512",,,,,,,,,,,,,
   Area actually reporting,99.8%,"82,277",,"4,570","77,707",55,727,"1,158","2,630",,"11,349","60,481","5,877",
   Estimated totals,100.0%,"82,391",,"4,576","77,815",55,728,"1,159","2,634",,"11,365","60,566","5,884",
Cities outside metropolitan areas,"286,959",,,,,,,,,,,,,
   Area actually reporting,96.3%,"8,874",,436,"8,438",6,111,24,295,,"1,365","6,722",351,
   Estimated totals,100.0%,"9,213",,452,"8,761",6,115,25,306,,"1,417","6,980",364,
Rural,"246,318",,,,,,,,,,,,,
   Area actually reporting,96.6%,"4,544",,277,"4,267",6,51,13,207,,987,"3,024",256,
   Estimated totals,100.0%,"4,703",,286,"4,417",6,53,13,214,,"1,022","3,130",265,
State Total,"2,269,789","96,307",,"5,314","90,993",67,896,"1,197","3,154",0,"13,804","70,676","6,513",
"   Rate per 100,000 inhabitants",,"4,243.0", ,234.1,"4,008.9",3.0,39.5,52.7,139.0,0.0,608.2,"3,113.8",286.9,
,,,,,,,,,,,,,,
VERMONT,,,, ,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"162,250", ,,,,,,,,,,,,
   Area actually reporting,100.0%,"6,243",,252,"5,991",5,33,35,179,,952,"4,793",246,
Cities outside metropolitan areas,"204,916",,,,,,,,,,,,,
   Area actually reporting,99.4%,"7,205",,273,"6,932",0,48,61,164,,"1,140","5,523",269,
   Estimated totals,100.0%,"7,249",,274,"6,975",0,48,61,165,,"1,147","5,557",271,
Rural,"245,924",,,,,,,,,,,,,
   Area actually reporting,100.0%,"3,486",,118,"3,368",2,26,11,79,,"1,051","2,076",241,
State Total,"613,090","16,978",,644,"16,334",7,107,107,423,0,"3,150","12,426",758,
"   Rate per 100,000 inhabitants",,"2,769.3", ,105.0,"2,664.2",1.1,17.5,17.5,69.0,0.0,513.8,"2,026.8",123.6,
,,,,,,,,,,,,,,
VIRGINIA,, ,,,,,,,,,,,,
,,, , , ,,,,,,,,,
Metropolitan Statistical Area,"5,613,370",,,,,,,,,,,,,
   Area actually reporting,96.3%,"184,960",,"16,759","168,201",283,"1,294","6,178","9,004",,"24,663","127,527","16,011",
   Estimated totals,100.0%,"194,560",,"17,450","177,110",285,"1,357","6,393","9,415",,"25,528","134,735","16,847",
Cities outside metropolitan areas,"442,640",,,,,,,,,,,,,
   Area actually reporting,92.4%,"14,603",,"1,309","13,294",22,131,224,932,,"1,764","10,806",724,
   Estimated totals,100.0%,"15,806",,"1,417","14,389",24,142,242,"1,009",,"1,909","11,696",784,
Rural,"1,131,724",,,,,,,,,,,,,
   Area actually reporting,99.4%,"17,972",,"2,060","15,912",55,269,224,"1,512",,"4,142","10,566","1,204",
   Estimated totals,100.0%,"18,079",,"2,072","16,007",55,271,225,"1,521",,"4,167","10,629","1,211",
State Total,"7,187,734","228,445",,"20,939","207,506",364,"1,770","6,860","11,945",0,"31,604","157,060","18,842",
"   Rate per 100,000 inhabitants",,"3,178.3", ,291.3,"2,886.9",5.1,24.6,95.4,166.2,0.0,439.7,"2,185.1",262.1,
,,,,,,,,,,,,,,
WASHINGTON,, ,, ,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"4,977,163",,,,,,,,,,,,,
   Area actually reporting,97.8%,"256,328",,"18,559","237,769",155,"2,043","5,550","10,811",,"42,765","159,196","35,808",
   Estimated totals,100.0%,"261,276",,"18,853","242,423",158,"2,088","5,631","10,976",,"43,606","162,333","36,484",
Cities outside metropolitan areas,"464,069",,,,,,,,,,,,,
   Area actually reporting,96.0%,"30,054",,"1,428","28,626",5,293,238,892,,"4,640","22,578","1,408",
   Estimated totals,100.0%,"31,302",,"1,487","29,815",5,305,248,929,,"4,833","23,516","1,466",
Rural,"546,741",,,,,,,,,,,,,
   Area actually reporting,100.0%,"15,914",,918,"14,996",16,207,55,640,,"4,585","9,284","1,127",
State Total,"5,987,973","308,492",,"21,258","287,234",179,"2,600","5,934","12,545",,"53,024","195,133","39,077",
"   Rate per 100,000 inhabitants",,"5,151.9", ,355.0,"4,796.8",3.0,43.4,99.1,209.5,0.0,885.5,"3,258.7",652.6,
,,,,,,,,,,,,,,
WEST VIRGINIA,, ,,, ,,,,,,,,,
,, ,, ,,,,,,,,,,
Metropolitan Statistical Area,"762,844",,,,,,,,,,,,,
   Area actually reporting,92.6%,"25,060",,"2,404","22,656",18,180,516,"1,690",,"4,846","16,009","1,801",
   Estimated totals,100.0%,"26,516",,"2,551","23,965",19,188,533,"1,811",,"5,126","16,929","1,910",
Cities outside metropolitan areas,"278,413",,,,,,,,,,,,,
   Area actually reporting,96.6%,"7,841",,924,"6,917",4,49,105,766,,"1,378","5,204",335,
   Estimated totals,100.0%,"8,116",,957,"7,159",4,51,109,793,,"1,426","5,386",347,
Rural,"760,659",,,,,,,,,,,,,
   Area actually reporting,97.8%,"11,238",,"1,494","9,744",17,79,64,"1,334",,"2,983","5,823",938,
   Estimated totals,100.0%,"11,488",,"1,527","9,961",17,81,65,"1,364",,"3,049","5,953",959,
State Total,"1,801,916","46,120",,"5,035","41,085",40,320,707,"3,968",0,"9,601","28,268","3,216",
"   Rate per 100,000 inhabitants",,"2,559.5", ,279.4,"2,280.1",2.2,17.8,39.2,220.2,0.0,532.8,"1,568.8",178.5,
,,,,,,,,,,,,,,
WISCONSIN,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"3,664,455",,,,,,,,,,,,,
   Area actually reporting,98.9%,"136,845",,"10,571","126,274",167,870,"4,296","5,238",,"19,630","93,868","12,776",
   Estimated totals,100.0%,"138,032",,"10,609","127,423",167,873,"4,309","5,260",,"19,759","94,833","12,831",
Cities outside metropolitan areas,"710,332",,,,,,,,,,,,,
   Area actually reporting,98.8%,"25,991",,980,"25,011",11,147,83,739,,"2,925","21,218",868,
   Estimated totals,100.0%,"26,303",,992,"25,311",11,149,84,748,,"2,960","21,473",878,
Rural,"1,027,119",,,,,,,,,,,,,
   Area actually reporting,97.1%,"14,644",,861,"13,783",14,117,50,680,,"4,087","8,712",984,
   Estimated totals,100.0%,"15,075",,885,"14,190",14,120,51,700,,"4,208","8,969","1,013",
State Total,"5,401,906","179,410",,"12,486","166,924",192,"1,142","4,444","6,708",0,"26,927","125,275","14,722",
"   Rate per 100,000 inhabitants",,"3,321.2", ,231.1,"3,090.1",3.6,21.1,82.3,124.2,0.0,498.5,"2,319.1",272.5,
, ,,,,,,,,,,,,,
WYOMING, , ,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"148,332",,, , ,,,,,,,,,
   Area actually reporting,100.0%,"6,061",,338,"5,723",4,63,49,222,,998,"4,458",267,
Cities outside metropolitan areas,"206,928",,,,,,,,,,,,,
   Area actually reporting,99.1%,"8,776",,658,"8,118",4,67,29,558,,"1,040","6,770",308,
   Estimated totals,100.0%,"8,853",,664,"8,189",4,68,29,563,,"1,049","6,829",311,
Rural,"139,163",,,,, ,, ,,,,,,
   Area actually reporting,100.0%,"2,478",,270,"2,208",1,22,6,241,,434,"1,656",118,
State Total,"494,423","17,392",,"1,272","16,120",9,153,84,"1,026",0,"2,481","12,943",696,
"   Rate per 100,000 inhabitants",,"3,517.6", ,257.3,"3,260.4",1.8,30.9,17.0,207.5,0.0,501.8,"2,617.8",140.8,
,,,,,,,,,,,,,,
"1 The murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, were not included in this table.  See special report, Section V.  ",,,,,,,,,,,,,,
"2 Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.",,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, and motor vehicle theft.  ",,,,,,,,,,,,,,
4 Includes offenses reported by the Zoological Police.,,,,,,,,,,,,,,
"5 Limited data for 2001 were available for Illinois and Kentucky; therefore, it was necessary that their crime counts be estimated.  See Offense Estimation, Appendix I, for details. ",,,,,,,,,,,,,,
  Offense totals are based on all reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,, ,,,, ,,,,,,,,
, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
