Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2015",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2 ","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,State Total,,"2,085,109","13,681",117,"1,672","1,215","2,485","9,407","77,094","17,085","51,483","8,526"
,,"Rate per 100,000 inhabitants",,656.1,5.6,80.2,58.3,119.2,451.2,"3,697.4",819.4,"2,469.1",408.9
NEW YORK6,Metropolitan Statistical Area,,"18,403,124",,,,,,,,,,
,,Area actually reporting,99.9%,"72,574",589,"5,099","3,721","23,682","43,204","295,464","40,021","240,693","14,750"
,,Estimated total,100.0%,"72,606",589,"5,099","3,721","23,694","43,224","295,805","40,066","240,978","14,761"
,Cities outside metropolitan areas,,"513,230",,,,,,,,,,
,,Area actually reporting,97.7%,"1,239",9,298,217,182,750,"11,824","1,968","9,600",256
,,Estimated total,100.0%,"1,271",9,308,225,186,768,"12,108","2,015","9,831",262
,Nonmetropolitan counties,,"879,437",,,,,,,,,,
,,Area actually reporting,100.0%,"1,288",11,667,443,56,554,"9,616","2,195","7,131",290
,State Total,,"19,795,791","75,165",609,"6,074","4,389","23,936","44,546","317,529","44,276","257,940","15,313"
,,"Rate per 100,000 inhabitants",,379.7,3.1,30.7,22.2,120.9,225.0,"1,604.0",223.7,"1,303.0",77.4
NORTH CAROLINA5,Metropolitan Statistical Area,,"7,835,390",,,,,,,,,,
,,Area actually reporting,98.9%,"28,126",383,"2,111","1,544","7,601","18,031","216,706","55,372","150,403","10,931"
,,Estimated total,100.0%,"28,310",384,"2,119","1,552","7,645","18,162","218,939","55,886","152,039","11,014"
,Cities outside metropolitan areas,,"648,044",,,,,,,,,,
,,Area actually reporting,90.7%,"3,558",73,230,169,777,"2,478","28,612","7,228","20,402",982
,,Estimated total,100.0%,"3,909",80,240,179,857,"2,732","31,546","7,969","22,494","1,083"
,Nonmetropolitan counties,,"1,559,368",,,,,,,,,,
,,Area actually reporting,94.7%,"2,490",50,305,196,306,"1,829","24,332","10,402","12,663","1,267"
,,Estimated total,100.0%,"2,633",53,325,208,323,"1,932","25,698","10,986","13,374","1,338"
,State Total,,"10,042,802","34,852",517,"2,684","1,939","8,825","22,826","276,183","74,841","187,907","13,435"
,,"Rate per 100,000 inhabitants",,347.0,5.1,26.7,19.3,87.9,227.3,"2,750.1",745.2,"1,871.1",133.8
NORTH DAKOTA,Metropolitan Statistical Area,,"371,616", ,,,,,,,,,
,,Area actually reporting,100.0%,973,11,179,141,96,687,"8,388","1,370","6,358",660
,Cities outside metropolitan areas,,"191,270",,,,,,,,,,
,,Area actually reporting,100.0%,660,5,126,106,44,485,"5,487","1,068","3,847",572
,Nonmetropolitan counties,,"194,041",,,,,,,,,,
,,Area actually reporting,100.0%,179,5,40,29,8,126,"2,145",559,"1,235",351
,State Total,,"756,927","1,812",21,345,276,148,"1,298","16,020","2,997","11,440","1,583"
,,"Rate per 100,000 inhabitants",,239.4,2.8,45.6,36.5,19.6,171.5,"2,116.5",395.9,"1,511.4",209.1
OHIO6,Metropolitan Statistical Area,,"9,246,915",,,,,,,,,,
,,Area actually reporting,91.8%,"29,364",443,"4,055","3,277","11,591","13,275","235,870","55,250","165,442","15,178"
,,Estimated total,100.0%,"30,588",455,"4,291","3,459","11,999","13,843","252,958","58,231","178,945","15,782"
,Cities outside metropolitan areas,,"1,047,288",,,,,,,,,,
,,Area actually reporting,84.6%,"1,608",21,398,338,342,847,"26,196","5,270","20,363",563
,,Estimated total,100.0%,"1,902",25,472,400,404,"1,001","30,966","6,230","24,071",665
,Nonmetropolitan counties,,"1,319,220",,,,,,,,,,
,,Area actually reporting,91.5%,"1,277",18,343,266,138,778,"15,185","4,429","10,041",715
,,Estimated total,100.0%,"1,408",20,386,295,151,851,"16,601","4,842","10,977",782
,State Total,,"11,613,423","33,898",500,"5,149","4,154","12,554","15,695","300,525","69,303","213,993","17,229"
,,"Rate per 100,000 inhabitants",,291.9,4.3,44.3,35.8,108.1,135.1,"2,587.7",596.7,"1,842.6",148.4
OKLAHOMA,Metropolitan Statistical Area,,"2,621,143",,,,,,,,,,
,,Area actually reporting,99.9%,"12,556",185,"1,409","1,027","2,666","8,296","81,302","19,938","53,076","8,288"
,,Estimated total,100.0%,"12,559",185,"1,409","1,027","2,666","8,299","81,350","19,948","53,110","8,292"
,Cities outside metropolitan areas,,"679,145",,,,,,,,,,
,,Area actually reporting,99.7%,"3,027",29,325,240,312,"2,361","24,467","5,647","17,354","1,466"
,,Estimated total,100.0%,"3,035",29,325,240,313,"2,368","24,544","5,665","17,408","1,471"
,Nonmetropolitan counties,,"611,050",,,,,,,,,,
,,Area actually reporting,98.0%,894,20,113,84,25,736,"6,847","2,738","3,435",674
,,Estimated total,100.0%,912,20,115,85,26,751,"6,984","2,793","3,504",687
,State Total,,"3,911,338","16,506",234,"1,849","1,352","3,005","11,418","112,878","28,406","74,022","10,450"
,,"Rate per 100,000 inhabitants",,422.0,6.0,47.3,34.6,76.8,291.9,"2,885.9",726.2,"1,892.5",267.2
OREGON6,Metropolitan Statistical Area,,"3,373,232",,,,,,,,,,
,,Area actually reporting,89.8%,"8,284",70,"1,185",873,"1,918","5,111","95,209","13,788","72,649","8,772"
,,Estimated total,100.0%,"8,982",77,"1,322",971,"2,002","5,581","101,615","14,998","77,274","9,343"
,Cities outside metropolitan areas,,"306,104",,,,,,,,,,
,,Area actually reporting,94.2%,828,11,163,123,110,544,"11,293","1,779","8,868",646
,,Estimated total,100.0%,879,12,173,131,117,577,"11,986","1,888","9,412",686
,Nonmetropolitan counties,,"349,641",,,,,,,,,,
,,Area actually reporting,97.6%,592,10,96,61,26,460,"4,993","1,415","3,073",505
,,Estimated total,100.0%,607,10,98,62,27,472,"5,118","1,450","3,150",518
,State Total,,"4,028,977","10,468",99,"1,593","1,164","2,146","6,630","118,719","18,336","89,836","10,547"
,,"Rate per 100,000 inhabitants",,259.8,2.5,39.5,28.9,53.3,164.6,"2,946.6",455.1,"2,229.7",261.8
PENNSYLVANIA,Metropolitan Statistical Area,,"11,319,063",,,,,,,,,,
,,Area actually reporting,99.2%,"37,198",608,"3,557","2,615","12,700","20,333","210,622","34,817","164,417","11,388"
,,Estimated total,100.0%,"37,344",609,"3,562","2,620","12,741","20,432","212,012","35,000","165,580","11,432"
,Cities outside metropolitan areas,,"683,735",,,,,,,,,,
,,Area actually reporting,95.7%,"1,657",22,171,122,150,"1,314","9,998","1,717","7,980",301
,,Estimated total,100.0%,"1,730",23,177,128,157,"1,373","10,448","1,794","8,339",315
,Nonmetropolitan counties,,"799,705",,,,,,,,,,
,,Area actually reporting,100.0%,"1,265",26,566,374,105,568,"9,625","2,870","6,368",387
,State Total,,"12,802,503","40,339",658,"4,305","3,122","13,003","22,373","232,085","39,664","180,287","12,134"
,,"Rate per 100,000 inhabitants",,315.1,5.1,33.6,24.4,101.6,174.8,"1,812.8",309.8,"1,408.2",94.8
PUERTO RICO7,Metropolitan Statistical Area,,"3,323,005",,,,,,,,,,
,,Area actually reporting,100.0%,"7,566",565,156,116,"4,063","2,782","37,598","9,100","24,426","4,072"
,Cities outside metropolitan areas,,"151,177",,,,,,,,,,
,,Area actually reporting,100.0%,63,19,9,7,7,28,119,50,67,2
,Total,,"3,474,182","7,629",584,165,123,"4,070","2,810","37,717","9,150","24,493","4,074"
,,"Rate per 100,000 inhabitants",,219.6,16.8,4.7,3.5,117.1,80.9,"1,085.6",263.4,705.0,117.3
RHODE ISLAND6,Metropolitan Statistical Area,,"1,056,298",,,,,,,,,,
,,Area actually reporting,100.0%,"2,537",28,444,331,555,"1,510","19,976","3,944","14,659","1,373"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,25,1,15,7,1,8,67,3,48,16
,State Total,,"1,056,298","2,562",29,459,338,556,"1,518","20,043","3,947","14,707","1,389"
,,"Rate per 100,000 inhabitants",,242.5,2.7,43.5,32.0,52.6,143.7,"1,897.5",373.7,"1,392.3",131.5
SOUTH CAROLINA,Metropolitan Statistical Area,,"4,145,678",,,,,,, ,,,
,,Area actually reporting,98.6%,"20,072",331,"1,881","1,414","3,338","14,522","133,964","27,404","95,276","11,284"
,,Estimated total,100.0%,"20,336",335,"1,908","1,434","3,374","14,719","135,587","27,788","96,369","11,430"
,Cities outside metropolitan areas,,"207,146",,,,,,,,,,
,,Area actually reporting,93.5%,"1,799",26,135,98,326,"1,312","10,889","2,281","8,175",433
,,Estimated total,100.0%,"1,923",28,143,105,349,"1,403","11,643","2,439","8,741",463
,Nonmetropolitan counties,,"543,322",,,,,,,,,,
,,Area actually reporting,99.2%,"2,421",36,244,167,206,"1,935","13,898","4,288","8,542","1,068"
,,Estimated total,100.0%,"2,441",36,246,168,208,"1,951","14,015","4,324","8,614","1,077"
,State Total,,"4,896,146","24,700",399,"2,297","1,707","3,931","18,073","161,245","34,551","113,724","12,970"
,,"Rate per 100,000 inhabitants",,504.5,8.1,46.9,34.9,80.3,369.1,"3,293.3",705.7,"2,322.7",264.9
SOUTH DAKOTA,Metropolitan Statistical Area,,"412,368", ,,,,,,,,,
,,Area actually reporting,99.5%,"1,626",12,303,275,165,"1,146","10,205","1,897","7,545",763
,,Estimated total,100.0%,"1,628",12,303,275,165,"1,148","10,224","1,900","7,560",764
,Cities outside metropolitan areas,,"219,563",,,,,,,,,,
,,Area actually reporting,95.9%,"1,391",7,160,138,40,"1,184","5,239",745,"4,186",308
,,Estimated total,100.0%,"1,451",7,167,144,42,"1,235","5,465",777,"4,367",321
,Nonmetropolitan counties,,"226,538",,,,,,,,,,
,,Area actually reporting,75.6%,158,10,18,18,7,123,750,214,458,78
,,Estimated total,100.0%,210,13,25,22,9,163,991,283,605,103
,State Total,,"858,469","3,289",32,495,441,216,"2,546","16,680","2,960","12,532","1,188"
,,"Rate per 100,000 inhabitants",,383.1,3.7,57.7,51.4,25.2,296.6,"1,943.0",344.8,"1,459.8",138.4
TENNESSEE,Metropolitan Statistical Area,,"5,103,420", ,,,,,,,,,
,,Area actually reporting,100.0%,"34,397",351,"2,260","1,659","7,078","24,708","158,863","34,790","113,624","10,449"
,Cities outside metropolitan areas,,"513,845",,,,,,,,,,
,,Area actually reporting,100.0%,"3,364",16,253,183,295,"2,800","20,823","3,809","16,006","1,008"
,Nonmetropolitan counties,,"983,034",,,,,,,,,,
,,Area actually reporting,100.0%,"2,639",39,163,124,101,"2,336","14,110","4,648","8,049","1,413"
,State Total,,"6,600,299","40,400",406,"2,676","1,966","7,474","29,844","193,796","43,247","137,679","12,870"
,,"Rate per 100,000 inhabitants",,612.1,6.2,40.5,29.8,113.2,452.2,"2,936.2",655.2,"2,086.0",195.0
TEXAS,Metropolitan Statistical Area,,"24,422,501",,,,,,,,,,
,,Area actually reporting,99.8%,"104,453","1,207","11,040","8,068","31,163","61,043","714,288","136,056","514,139","64,093"
,,Estimated total,100.0%,"104,564","1,207","11,055","8,081","31,189","61,113","715,398","136,238","514,990","64,170"
,Cities outside metropolitan areas,,"1,425,757",,,,,,,,,,
,,Area actually reporting,97.1%,"5,528",43,657,472,602,"4,226","41,169","9,231","30,193","1,745"
,,Estimated total,100.0%,"5,687",44,679,492,617,"4,347","42,301","9,488","31,023","1,790"
,Nonmetropolitan counties,,"1,620,856",,,,,,,,,,
,,Area actually reporting,99.4%,"2,958",65,512,350,127,"2,254","19,923","7,285","11,122","1,516"
,,Estimated total,100.0%,"2,976",65,516,352,128,"2,267","20,040","7,328","11,187","1,525"
,State Total,,"27,469,114","113,227","1,316","12,250","8,925","31,934","67,727","777,739","153,054","557,200","67,485"
,,"Rate per 100,000 inhabitants",,412.2,4.8,44.6,32.5,116.3,246.6,"2,831.3",557.2,"2,028.5",245.7
UTAH6,Metropolitan Statistical Area,,"2,675,737",,,,,,,,,,
,,Area actually reporting,98.7%,"6,295",49,"1,448",969,"1,292","3,506","82,075","11,283","62,574","8,218"
,,Estimated total,100.0%,"6,357",49,"1,462",980,"1,303","3,543","82,969","11,414","63,248","8,307"
,Cities outside metropolitan areas,,"144,887",,,,,,,,,,
,,Area actually reporting,95.5%,337,1,95,50,12,229,"3,411",519,"2,714",178
,,Estimated total,100.0%,354,1,100,54,13,240,"3,573",544,"2,843",186
,Nonmetropolitan counties,,"175,295",,,,,,,,,,
,,Area actually reporting,96.0%,346,4,79,61,10,253,"2,628",490,"1,932",206
,,Estimated total,100.0%,360,4,83,64,10,263,"2,736",510,"2,012",214
,State Total,,"2,995,919","7,071",54,"1,645","1,098","1,326","4,046","89,278","12,468","68,103","8,707"
,,"Rate per 100,000 inhabitants",,236.0,1.8,54.9,36.6,44.3,135.1,"2,980.0",416.2,"2,273.2",290.6
VERMONT,Metropolitan Statistical Area,,"217,090",,,,,,,,,,
,,Area actually reporting,100.0%,279,2,50,48,47,180,"4,245",815,"3,396",34
,Cities outside metropolitan areas,,"203,524",,,,,,,,,,
,,Area actually reporting,100.0%,307,5,48,44,42,212,"2,873",504,"2,312",57
,Nonmetropolitan counties,,"205,428",, ,,,,,,,,
,,Area actually reporting,100.0%,153,3,38,29,12,100,"1,688",649,952,87
,State Total,,"626,042",739,10,136,121,101,492,"8,806","1,968","6,660",178
,,"Rate per 100,000 inhabitants",,118.0,1.6,21.7,19.3,16.1,78.6,"1,406.6",314.4,"1,063.8",28.4
VIRGINIA,Metropolitan Statistical Area,,"7,333,021",,,,,,,,,,
,,Area actually reporting,99.9%,"14,490",328,"1,920","1,252","4,194","8,048","139,834","18,121","114,372","7,341"
,,Estimated total,100.0%,"14,491",328,"1,920","1,252","4,194","8,049","139,851","18,123","114,386","7,342"
,Cities outside metropolitan areas,,"262,020",,,,,,,,,,
,,Area actually reporting,99.2%,721,19,115,72,139,448,"7,585","1,032","6,342",211
,,Estimated total,100.0%,726,19,115,72,140,452,"7,646","1,040","6,393",213
,Nonmetropolitan counties,,"787,952",,,,,,,,,,
,,Area actually reporting,100.0%,"1,182",36,305,169,107,734,"8,973","2,177","6,240",556
,State Total,,"8,382,993","16,399",383,"2,340","1,493","4,441","9,235","156,470","21,340","127,019","8,111"
,,"Rate per 100,000 inhabitants",,195.6,4.6,27.9,17.8,53.0,110.2,"1,866.5",254.6,"1,515.2",96.8
WASHINGTON6,Metropolitan Statistical Area,,"6,452,326",,,,,,,,,,
,,Area actually reporting,99.9%,"18,899",197,"2,438","1,965","5,234","11,030","229,294","45,974","157,899","25,421"
,,Estimated total,100.0%,"18,899",197,"2,438","1,965","5,234","11,030","229,304","45,976","157,906","25,422"
,Cities outside metropolitan areas,,"296,377",,,,,,,,,,
,,Area actually reporting,97.8%,922,6,173,151,165,578,"12,260","2,524","8,829",907
,,Estimated total,100.0%,942,6,176,154,169,591,"12,541","2,582","9,031",928
,Nonmetropolitan counties,,"421,648",,,,,,,,,,
,,Area actually reporting,100.0%,553,8,91,74,46,408,"6,524","2,435","3,572",517
,State Total,,"7,170,351","20,394",211,"2,705","2,193","5,449","12,029","248,369","50,993","170,509","26,867"
,,"Rate per 100,000 inhabitants",,284.4,2.9,37.7,30.6,76.0,167.8,"3,463.8",711.2,"2,378.0",374.7
WEST VIRGINIA,Metropolitan Statistical Area,,"1,136,862",,,,,,,,,,
,,Area actually reporting,89.8%,"3,557",45,402,245,625,"2,485","25,404","6,476","17,423","1,505"
,,Estimated total,100.0%,"3,887",47,433,269,667,"2,740","28,418","7,019","19,731","1,668"
,Cities outside metropolitan areas,,"189,216",,,,,,,,,,
,,Area actually reporting,53.0%,280,4,23,18,28,225,"1,619",264,"1,285",70
,,Estimated total,100.0%,519,8,33,26,53,425,"3,056",498,"2,426",132
,Nonmetropolitan counties,,"518,050",,,,,,,,,,
,,Area actually reporting,73.1%,"1,325",11,142,83,29,"1,143","4,223","1,208","2,694",321
,,Estimated total,100.0%,"1,825",15,206,125,40,"1,564","5,777","1,653","3,685",439
,State Total,,"1,844,128","6,231",70,672,420,760,"4,729","37,251","9,170","25,842","2,239"
,,"Rate per 100,000 inhabitants",,337.9,3.8,36.4,22.8,41.2,256.4,"2,020.0",497.3,"1,401.3",121.4
WISCONSIN6,Metropolitan Statistical Area,,"4,268,682",,,,,,,,,,
,,Area actually reporting,96.5%,"15,597",207,"1,368",923,"5,087","8,935","88,714","15,012","63,592","10,110"
,,Estimated total,100.0%,"15,770",209,"1,396",945,"5,131","9,034","91,251","15,314","65,713","10,224"
,Cities outside metropolitan areas,,"639,613",,,,,,,,,,
,,Area actually reporting,93.8%,"1,015",9,189,141,79,738,"14,140","1,732","12,065",343
,,Estimated total,100.0%,"1,082",10,201,150,84,787,"15,070","1,846","12,858",366
,Nonmetropolitan counties,,"863,042",,,,,,,,,,
,,Area actually reporting,100.0%,795,21,183,129,17,574,"7,603","2,394","4,814",395
,State Total,,"5,771,337","17,647",240,"1,780","1,224","5,232","10,395","113,924","19,554","83,385","10,985"
,,"Rate per 100,000 inhabitants",,305.8,4.2,30.8,21.2,90.7,180.1,"1,974.0",338.8,"1,444.8",190.3
WYOMING,Metropolitan Statistical Area,,"179,738", ,,,,,, ,,,
,,Area actually reporting,100.0%,366,8,50,36,31,277,"4,584",763,"3,579",242
,Cities outside metropolitan areas,,"245,549",,,,,,,,,,
,,Area actually reporting,96.7%,629,5,82,62,24,518,"5,255",693,"4,313",249
,,Estimated total,100.0%,649,5,83,63,25,536,"5,434",717,"4,460",257
,Nonmetropolitan counties,,"160,820",, ,,, ,,,,,
,,Area actually reporting,91.6%,262,3,35,23,3,221,"1,038",258,695,85
,,Estimated total,100.0%,287,3,40,26,3,241,"1,133",282,758,93
,State Total,,"586,107","1,302",16,173,125,59,"1,054","11,151","1,762","8,797",592
,,"Rate per 100,000 inhabitants",,222.1,2.7,29.5,21.3,10.1,179.8,"1,902.6",300.6,"1,500.9",101.0
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,
4  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services.,,,,,,,,,,,,,
5  This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,
6  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,
7  The figures submitted by Puerto Rico for rape were not verified and may not be comparable to previous years' data.,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,
