Table 3,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,
"by State, 2016",,,,,,,, ,,,,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition2) ","Rape
(legacy
definition3)",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",,,
,,"Rate per 100,000 inhabitants",,197.6,1.3,43.6,31.7,32.0,120.7,"1,512.9",222.0,"1,225.7",65.3,,,
NEW JERSEY,Metropolitan Statistical Area,,"8,944,469",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"21,914",372,"1,453","1,089","8,984","11,105","138,152","25,284","101,540","11,328",,,
,Cities outside metropolitan areas,,None,,,,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,,
,State Total,,"8,944,469","21,914",372,"1,453","1,089","8,984","11,105","138,152","25,284","101,540","11,328",,,
,,"Rate per 100,000 inhabitants",,245.0,4.2,16.2,12.2,100.4,124.2,"1,544.6",282.7,"1,135.2",126.6,,,
NEW MEXICO6,Metropolitan Statistical Area,,"1,386,406", ,,,,,, ,,,,,,
,,Area actually reporting,99.3%,"10,595",90,"1,053",782,"2,402","7,050","61,466","12,212","39,082","10,172",,,
,,Estimated total,100.0%,"10,643",90,"1,059",786,"2,406","7,088","61,774","12,273","39,287","10,214",,,
,Cities outside metropolitan areas,,"399,862",,,,,,,,,,,,,
,,Area actually reporting,96.9%,"2,628",34,273,205,290,"2,031","16,171","3,615","11,494","1,062",,,
,,Estimated total,100.0%,"2,710",35,281,211,299,"2,095","16,682","3,729","11,857","1,096",,,
,Nonmetropolitan counties,,"294,747",,,,,,,,,,,,,
,,Area actually reporting,92.9%,"1,177",13,173,112,30,961,"3,228","1,188","1,638",402,,,
,,Estimated total,100.0%,"1,266",14,186,120,32,"1,034","3,475","1,279","1,763",433,,,
,State Total,,"2,081,015","14,619",139,"1,526","1,117","2,737","10,217","81,931","17,281","52,907","11,743",,,
,,"Rate per 100,000 inhabitants",,702.5,6.7,73.3,53.7,131.5,491.0,"3,937.1",830.4,"2,542.4",564.3,,,
NEW YORK6,Metropolitan Statistical Area,,"18,370,635",,,,,,,,,,,,,
,,Area actually reporting,99.4%,"71,419",610,"5,218","3,864","22,032","43,559","283,107","35,538","233,778","13,791",,,
,,Estimated total,100.0%,"71,584",612,"5,246","3,884","22,074","43,652","284,602","35,733","235,018","13,851",,,
,Cities outside metropolitan areas,,"506,786",,,,,,,,,,,,,
,,Area actually reporting,98.1%,"1,297",13,311,227,180,793,"11,126","1,927","8,971",228,,,
,,Estimated total,100.0%,"1,324",13,318,233,184,809,"11,344","1,965","9,147",232,,,
,Nonmetropolitan counties,,"867,868",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,377",5,696,452,58,618,"9,235","2,123","6,803",309,,,
,State Total,,"19,745,289","74,285",630,"6,260","4,569","22,316","45,079","305,181","39,821","250,968","14,392",,,
,,"Rate per 100,000 inhabitants",,376.2,3.2,31.7,23.1,113.0,228.3,"1,545.6",201.7,"1,271.0",72.9,,,
NORTH CAROLINA6,Metropolitan Statistical Area,,"7,938,934",,,,,,,,,,,,,
,,Area actually reporting,97.6%,"30,341",486,"2,259","1,673","8,030","19,566","216,973","51,738","152,826","12,409",,,
,,Estimated total,100.0%,"30,715",492,"2,290","1,699","8,110","19,823","220,854","52,773","155,488","12,593",,,
,Cities outside metropolitan areas,,"649,752",,,,,,,,,,,,,
,,Area actually reporting,88.0%,"3,418",67,240,179,771,"2,340","26,745","7,093","18,539","1,113",,,
,,Estimated total,100.0%,"3,870",76,258,196,876,"2,660","30,403","8,063","21,075","1,265",,,
,Nonmetropolitan counties,,"1,558,102",,,,,,,,,,,,,
,,Area actually reporting,95.3%,"3,032",105,286,182,333,"2,308","25,253","10,714","13,160","1,379",,,
,,Estimated total,100.0%,"3,184",110,301,191,350,"2,423","26,508","11,246","13,814","1,448",,,
,State Total,,"10,146,788","37,769",678,"2,849","2,086","9,336","24,906","277,765","72,082","190,377","15,306",,,
,,"Rate per 100,000 inhabitants",,372.2,6.7,28.1,20.6,92.0,245.5,"2,737.5",710.4,"1,876.2",150.8,,,
NORTH DAKOTA,Metropolitan Statistical Area,,"371,557", ,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,119",8,214,160,136,761,"10,363","1,820","7,562",981,,,
,Cities outside metropolitan areas,,"201,068",,,,,,,,,,,,,
,,Area actually reporting,99.8%,591,5,86,64,36,464,"5,022",934,"3,441",647,,,
,,Estimated total,100.0%,592,5,86,64,36,465,"5,033",936,"3,449",648,,,
,Nonmetropolitan counties,,"185,327",,,,,,,,,,,,,
,,Area actually reporting,100.0%,192,2,42,32,9,139,"2,006",487,"1,184",335,,,
,State Total,,"757,952","1,903",15,342,256,181,"1,365","17,402","3,243","12,195","1,964",,,
,,"Rate per 100,000 inhabitants",,251.1,2.0,45.1,33.8,23.9,180.1,"2,295.9",427.9,"1,608.9",259.1,,,
OHIO6,Metropolitan Statistical Area,,"9,255,325",,,,,,,,,,,,,
,,Area actually reporting,91.6%,"30,462",574,"4,474","3,337","11,543","13,871","237,037","53,589","165,991","17,457",,,
,,Estimated total,100.0%,"31,626",592,"4,731","3,534","11,914","14,389","253,645","56,493","178,994","18,158",,,
,Cities outside metropolitan areas,,"1,046,316",,,,,,,,,,,,,
,,Area actually reporting,81.1%,"1,463",25,381,282,334,723,"24,090","4,632","18,826",632,,,
,,Estimated total,100.0%,"1,806",31,471,353,412,892,"29,716","5,714","23,222",780,,,
,Nonmetropolitan counties,,"1,312,732",,,,,,,,,,,,,
,,Area actually reporting,94.7%,"1,365",29,363,238,187,786,"15,145","4,427","10,028",690,,,
,,Estimated total,100.0%,"1,445",31,387,254,197,830,"15,996","4,676","10,591",729,,,
,State Total,,"11,614,373","34,877",654,"5,589","4,141","12,523","16,111","299,357","66,883","212,807","19,667",,,
,,"Rate per 100,000 inhabitants",,300.3,5.6,48.1,35.7,107.8,138.7,"2,577.5",575.9,"1,832.3",169.3,,,
OKLAHOMA6,Metropolitan Statistical Area,,"2,640,800",,,,,,,,,,,,,
,,Area actually reporting,99.9%,"13,864",196,"1,577","1,179","2,824","9,267","86,883","20,696","56,351","9,836",,,
,,Estimated total,100.0%,"13,866",196,"1,577","1,179","2,824","9,269","86,913","20,702","56,372","9,839",,,
,Cities outside metropolitan areas,,"682,233",,,,,,,,,,,,,
,,Area actually reporting,99.9%,"2,714",28,324,238,311,"2,051","22,843","5,563","15,775","1,505",,,
,,Estimated total,100.0%,"2,716",28,324,238,311,"2,053","22,863","5,568","15,789","1,506",,,
,Nonmetropolitan counties,,"600,528",,,,,,,,,,,,,
,,Area actually reporting,91.3%,974,19,126,84,25,804,"6,631","2,587","3,304",740,,,
,,Estimated total,100.0%,"1,066",21,138,92,27,880,"7,261","2,833","3,618",810,,,
,State Total,,"3,923,561","17,648",245,"2,039","1,509","3,162","12,202","117,037","29,103","75,779","12,155",,,
,,"Rate per 100,000 inhabitants",,449.8,6.2,52.0,38.5,80.6,311.0,"2,982.9",741.7,"1,931.4",309.8,,,
OREGON6,Metropolitan Statistical Area,,"3,431,824",,,,,,,,,,,,,
,,Area actually reporting,98.7%,"9,177",71,"1,459","1,076","2,110","5,537","102,894","13,568","77,779","11,547",,,
,,Estimated total,100.0%,"9,278",72,"1,483","1,095","2,129","5,594","104,098","13,706","78,729","11,663",,,
,Cities outside metropolitan areas,,"308,081",,,,,,,,,,,,,
,,Area actually reporting,94.6%,730,10,131,95,113,476,"11,246","1,732","8,766",748,,,
,,Estimated total,100.0%,770,11,137,100,119,503,"11,884","1,830","9,264",790,,,
,Nonmetropolitan counties,,"353,560",,,,,,,,,,,,,
,,Area actually reporting,73.3%,567,22,68,45,22,455,"3,930",975,"2,413",542,,,
,,Estimated total,100.0%,782,30,101,66,30,621,"5,363","1,330","3,293",740,,,
,State Total,,"4,093,465","10,830",113,"1,721","1,261","2,278","6,718","121,345","16,866","91,286","13,193",,,
,,"Rate per 100,000 inhabitants",,264.6,2.8,42.0,30.8,55.6,164.1,"2,964.4",412.0,"2,230.0",322.3,,,
PENNSYLVANIA,Metropolitan Statistical Area,,"11,313,467",,,,,,,,,,,,,
,,Area actually reporting,99.1%,"37,232",626,"3,535","2,632","11,996","21,075","203,086","31,518","159,219","12,349",,,
,,Estimated total,100.0%,"37,394",627,"3,543","2,639","12,038","21,186","204,598","31,708","160,485","12,405",,,
,Cities outside metropolitan areas,,"681,636",,,,,,,,,,,,,
,,Area actually reporting,95.9%,"1,552",10,140,106,162,"1,240","9,060","1,378","7,434",248,,,
,,Estimated total,100.0%,"1,609",10,137,103,169,"1,293","9,449","1,437","7,753",259,,,
,Nonmetropolitan counties,,"789,124",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,444",24,753,491,119,548,"8,748","2,375","5,990",383,,,
,State Total,,"12,784,227","40,447",661,"4,433","3,233","12,326","23,027","222,795","35,520","174,228","13,047",,,
,,"Rate per 100,000 inhabitants",,316.4,5.2,34.7,25.3,96.4,180.1,"1,742.7",277.8,"1,362.8",102.1,,,
PUERTO RICO7,Metropolitan Statistical Area,,"3,262,275",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"7,362",650,160,121,"3,155","3,397","34,107","7,907","22,453","3,747",,,
,Cities outside metropolitan areas,,"149,032",,,,,,,,,,,,,
,,Area actually reporting,100.0%,281,29,9,7,46,197,"1,094",344,710,40,,,
,Total,,"3,411,307","7,643",679,169,128,"3,201","3,594","35,201","8,251","23,163","3,787",,,
,,"Rate per 100,000 inhabitants",,224.0,19.9,5.0,3.8,93.8,105.4,"1,031.9",241.9,679.0,111.0,,,
RHODE ISLAND6,Metropolitan Statistical Area,,"1,056,426",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"2,489",28,420,314,539,"1,502","19,978","3,787","14,611","1,580",,,
,Cities outside metropolitan areas,,None,,,,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,,
,,Area actually reporting,100.0%,35,1,22,14,1,11,80,1,63,16,,,
,State Total,,"1,056,426","2,524",29,442,328,540,"1,513","20,058","3,788","14,674","1,596",,,
,,"Rate per 100,000 inhabitants",,238.9,2.7,41.8,31.0,51.1,143.2,"1,898.7",358.6,"1,389.0",151.1,,,
SOUTH CAROLINA,Metropolitan Statistical Area,,"4,212,891",,,,,,, ,,,,,,
,,Area actually reporting,99.7%,"20,864",303,"2,009","1,453","3,488","15,064","135,853","26,498","97,150","12,205",,,
,,Estimated total,100.0%,"20,933",303,"2,016","1,459","3,500","15,114","136,379","26,574","97,566","12,239",,,
,Cities outside metropolitan areas,,"205,750",,,,,,,,,,,,,
,,Area actually reporting,97.2%,"1,737",33,147,106,300,"1,257","10,856","2,309","8,097",450,,,
,,Estimated total,100.0%,"1,787",34,151,109,309,"1,293","11,166","2,375","8,328",463,,,
,Nonmetropolitan counties,,"542,478",,,,,,,,,,,,,
,,Area actually reporting,99.2%,"2,158",29,218,142,224,"1,687","13,274","3,994","8,072","1,208",,,
,,Estimated total,100.0%,"2,176",29,220,143,226,"1,701","13,383","4,027","8,138","1,218",,,
,State Total,,"4,961,119","24,896",366,"2,387","1,711","4,035","18,108","160,928","32,976","114,032","13,920",,,
,,"Rate per 100,000 inhabitants",,501.8,7.4,48.1,34.5,81.3,365.0,"3,243.8",664.7,"2,298.5",280.6,,,
SOUTH DAKOTA6,Metropolitan Statistical Area,,"416,782", ,,,,,,,,,,,,
,,Area actually reporting,99.3%,"1,732",15,309,228,211,"1,197","10,354","1,798","7,560",996,,,
,,Estimated total,100.0%,"1,735",15,309,228,211,"1,200","10,384","1,802","7,584",998,,,
,Cities outside metropolitan areas,,"219,496",,,,,,,,,,,,,
,,Area actually reporting,94.6%,"1,584",6,152,113,52,"1,374","5,254",839,"4,042",373,,,
,,Estimated total,100.0%,"1,673",6,159,119,55,"1,453","5,554",887,"4,273",394,,,
,Nonmetropolitan counties,,"229,176",,,,,,,,,,,,,
,,Area actually reporting,78.2%,168,5,33,25,5,125,940,243,611,86,,,
,,Estimated total,100.0%,213,6,41,32,6,160,"1,203",311,782,110,,,
,State Total,,"865,454","3,621",27,509,379,272,"2,813","17,141","3,000","12,639","1,502",,,
,,"Rate per 100,000 inhabitants",,418.4,3.1,58.8,43.8,31.4,325.0,"1,980.6",346.6,"1,460.4",173.6,,,
TENNESSEE,Metropolitan Statistical Area,,"5,151,809", ,,,,,,,,,,,,
,,Area actually reporting,100.0%,"36,002",435,"2,261","1,679","7,403","25,903","154,421","31,772","110,354","12,295",,,
,Cities outside metropolitan areas,,"513,895",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"3,326",25,244,177,290,"2,767","20,509","3,890","15,469","1,150",,,
,Nonmetropolitan counties,,"985,490",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"2,769",26,209,135,120,"2,414","14,905","4,650","8,581","1,674",,,
,State Total,,"6,651,194","42,097",486,"2,714","1,991","7,813","31,084","189,835","40,312","134,404","15,119",,,
,,"Rate per 100,000 inhabitants",,632.9,7.3,40.8,29.9,117.5,467.3,"2,854.1",606.1,"2,020.7",227.3,,,
TEXAS,Metropolitan Statistical Area,,"24,814,265",,,,,,,,,,,,,
,,Area actually reporting,99.7%,"112,094","1,382","12,022","8,912","32,508","66,182","708,595","132,040","511,044","65,511",,,
,,Estimated total,100.0%,"112,275","1,382","12,049","8,935","32,551","66,293","710,123","132,303","512,191","65,629",,,
,Cities outside metropolitan areas,,"1,439,521",,,,,,,,,,,,,
,,Area actually reporting,96.6%,"5,470",44,682,497,596,"4,148","38,585","8,950","27,759","1,876",,,
,,Estimated total,100.0%,"5,656",46,708,519,614,"4,288","39,863","9,250","28,677","1,936",,,
,Nonmetropolitan counties,,"1,608,810",,,,,,,,,,,,,
,,Area actually reporting,98.9%,"3,077",49,604,400,150,"2,274","18,758","7,110","10,173","1,475",,,
,,Estimated total,100.0%,"3,111",50,610,404,152,"2,299","18,961","7,187","10,283","1,491",,,
,State Total,,"27,862,596","121,042","1,478","13,367","9,858","33,317","72,880","768,947","148,740","551,151","69,056",,,
,,"Rate per 100,000 inhabitants",,434.4,5.3,48.0,35.4,119.6,261.6,"2,759.8",533.8,"1,978.1",247.8,,,
UTAH,Metropolitan Statistical Area,,"2,725,548",,,,,,,,,,,,,
,,Area actually reporting,99.4%,"6,695",63,"1,370","1,010","1,499","3,763","83,517","11,726","62,970","8,821",,,
,,Estimated total,100.0%,"6,721",63,"1,375","1,014","1,505","3,778","83,912","11,789","63,255","8,868",,,
,Cities outside metropolitan areas,,"149,141",,,,,,,,,,,,,
,,Area actually reporting,90.3%,320,2,81,59,20,217,"3,185",483,"2,508",194,,,
,,Estimated total,100.0%,354,2,90,66,22,240,"3,529",535,"2,779",215,,,
,Nonmetropolitan counties,,"176,528",,,,,,,,,,,,,
,,Area actually reporting,95.5%,317,7,53,34,13,244,"2,498",489,"1,718",291,,,
,,Estimated total,100.0%,332,7,55,36,14,256,"2,617",512,"1,800",305,,,
,State Total,,"3,051,217","7,407",72,"1,520","1,116","1,541","4,274","90,058","12,836","67,834","9,388",,,
,,"Rate per 100,000 inhabitants",,242.8,2.4,49.8,36.6,50.5,140.1,"2,951.5",420.7,"2,223.2",307.7,,,
VERMONT,Metropolitan Statistical Area,,"217,636",,,,,,,,,,,,,
,,Area actually reporting,100.0%,439,7,74,53,54,304,"4,894",747,"4,058",89,,,
,Cities outside metropolitan areas,,"203,654",,,,,,,,,,,,,
,,Area actually reporting,100.0%,322,1,62,42,40,219,"3,607",585,"2,937",85,,,
,Nonmetropolitan counties,,"203,304",,,,,,,,,,,,,
,,Area actually reporting,100.0%,228,6,42,29,12,168,"2,101",771,"1,222",108,,,
,State Total,,"624,594",989,14,178,124,106,691,"10,602","2,103","8,217",282,,,
,,"Rate per 100,000 inhabitants",,158.3,2.2,28.5,19.9,17.0,110.6,"1,697.4",336.7,"1,315.6",45.1,,,
VIRGINIA,Metropolitan Statistical Area,,"7,366,234",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"16,236",406,"2,236","1,628","4,572","9,022","141,037","17,122","114,954","8,961",,,
,Cities outside metropolitan areas,,"259,405",,,,,,,,,,,,,
,,Area actually reporting,99.9%,848,23,147,104,140,538,"6,736",918,"5,560",258,,,
,,Estimated total,100.0%,849,23,147,104,140,539,"6,745",919,"5,568",258,,,
,Nonmetropolitan counties,,"786,169",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,217",55,354,233,91,717,"8,630","1,977","6,084",569,,,
,State Total,,"8,411,808","18,302",484,"2,737","1,965","4,803","10,278","156,412","20,018","126,606","9,788",,,
,,"Rate per 100,000 inhabitants",,217.6,5.8,32.5,23.4,57.1,122.2,"1,859.4",238.0,"1,505.1",116.4,,,
WASHINGTON6,Metropolitan Statistical Area,,"6,561,914",,,,,,,,,,,,,
,,Area actually reporting,99.9%,"20,475",172,"2,786","2,054","5,467","12,050","235,805","44,545","160,783","30,477",,,
,,Estimated total,100.0%,"20,475",172,"2,786","2,054","5,467","12,050","235,814","44,546","160,790","30,478",,,
,Cities outside metropolitan areas,,"299,860",,,,,,,,,,,,,
,,Area actually reporting,97.8%,983,7,195,140,151,630,"12,608","2,593","8,804","1,211",,,
,,Estimated total,100.0%,"1,004",7,199,144,154,644,"12,894","2,652","9,004","1,238",,,
,Nonmetropolitan counties,,"426,226",,,,,,,,,,,,,
,,Area actually reporting,100.0%,544,16,92,61,30,406,"5,945","1,982","3,393",570,,,
,State Total,,"7,288,000","22,023",195,"3,077","2,259","5,651","13,100","254,653","49,180","173,187","32,286",,,
,,"Rate per 100,000 inhabitants",,302.2,2.7,42.2,31.0,77.5,179.7,"3,494.1",674.8,"2,376.3",443.0,,,
WEST VIRGINIA,Metropolitan Statistical Area,,"1,131,010",,,,,,,,,,,,,
,,Area actually reporting,89.9%,"4,030",50,427,309,564,"2,989","26,592","6,775","18,050","1,767",,,
,,Estimated total,100.0%,"4,334",52,460,335,597,"3,225","29,486","7,377","20,151","1,958",,,
,Cities outside metropolitan areas,,"187,738",,,,,,,,,,,,,
,,Area actually reporting,59.0%,388,2,28,21,34,324,"1,898",314,"1,491",93,,,
,,Estimated total,100.0%,648,3,37,28,58,550,"3,220",533,"2,529",158,,,
,Nonmetropolitan counties,,"512,354",,,,,,,,,,,,,
,,Area actually reporting,93.7%,"1,476",24,150,99,61,"1,241","4,481","1,304","2,809",368,,,
,,Estimated total,100.0%,"1,575",26,160,105,65,"1,324","4,781","1,391","2,997",393,,,
,State Total,,"1,831,102","6,557",81,657,468,720,"5,099","37,487","9,301","25,677","2,509",,,
,,"Rate per 100,000 inhabitants",,358.1,4.4,35.9,25.6,39.3,278.5,"2,047.2",507.9,"1,402.3",137.0,,,
WISCONSIN6,Metropolitan Statistical Area,,"4,281,462",,,,,,,,,,,,,
,,Area actually reporting,99.0%,"15,475",205,"1,532","1,145","4,603","9,135","89,637","15,331","65,137","9,169",,,
,,Estimated total,100.0%,"15,515",205,"1,541","1,152","4,608","9,161","90,113","15,411","65,509","9,193",,,
,Cities outside metropolitan areas,,"648,096",,,,,,,,,,,,,
,,Area actually reporting,99.6%,"1,250",14,251,184,66,919,"14,410","1,741","12,298",371,,,
,,Estimated total,100.0%,"1,254",14,251,184,66,923,"14,471","1,748","12,350",373,,,
,Nonmetropolitan counties,,"849,150",,,,,,,,,,,,,
,,Area actually reporting,100.0%,910,10,187,122,32,681,"7,136","2,266","4,478",392,,,
,State Total,,"5,778,708","17,679",229,"1,979","1,458","4,706","10,765","111,720","19,425","82,337","9,958",,,
,,"Rate per 100,000 inhabitants",,305.9,4.0,34.2,25.2,81.4,186.3,"1,933.3",336.1,"1,424.8",172.3,,,
WYOMING,Metropolitan Statistical Area,,"180,145", ,,,,,, ,,,,,,
,,Area actually reporting,100.0%,413,8,59,43,30,316,"5,020",866,"3,739",415,,,
,Cities outside metropolitan areas,,"245,821",,,,,,,,,,,,,
,,Area actually reporting,95.7%,635,10,112,81,26,487,"5,091",645,"4,167",279,,,
,,Estimated total,100.0%,663,10,117,86,27,509,"5,321",674,"4,355",292,,,
,Nonmetropolitan counties,,"159,535",,,,,,,,,,,,,
,,Area actually reporting,88.4%,314,2,26,19,2,284,989,204,703,82,,,
,,Estimated total,100.0%,354,2,29,21,2,321,"1,119",231,795,93,,,
,State Total,,"585,501","1,430",20,205,150,59,"1,146","11,460","1,771","8,889",800,,,
,,"Rate per 100,000 inhabitants",,244.2,3.4,35.0,25.6,10.1,195.7,"1,957.3",302.5,"1,518.2",136.6,,,
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,
4  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit.,,,,,,,,,,,,,,,,
5  This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,,,,
6  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,,,,
7  The figures submitted by Puerto Rico for rape were not verified and may not be comparable to previous years' data.,,,,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
